search_board_type Mt.Jade
Pseudo-terminal will not be allocated because stdin is not a terminal.
Setting large buffer to 32767
Event_log        | 0x0        | discrete   | 0x1080| na        | na        | na        | na        | na        | na        
S1_DIMM_VR1_Pwr  | na         | Watts      | na    | na        | na        | na        | na        | 79.950    | na        
S1_SoC_Error     | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
S1_SOC_VRD_Temp  | na         | degrees C  | na    | na        | na        | na        | na        | 105.000   | na        
S1_DIMM_VR1_Volt | na         | Volts      | na    | 1.141     | na        | na        | na        | 1.260     | na        
S1_DIMM_VR2_Volt | na         | Volts      | na    | 1.141     | na        | na        | na        | 1.260     | na        
S1_SOC_Temp      | na         | degrees C  | na    | na        | na        | na        | na        | 105.000   | na        
S1_PCIE_Status   | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
S1_CPU_Pwr       | na         | Watts      | na    | na        | na        | na        | na        | 500.000   | na        
S1_CPU_VCORE     | na         | Volts      | na    | 0.720     | na        | na        | na        | 1.120     | na        
S1_Memory_Status | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
S1_DIMMG0_Temp   | na         | degrees C  | na    | na        | na        | na        | na        | 85.000    | na        
S1_CPU_PROC_HOT  | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na        
FAN4_1_Failure   | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
FAN4_1_Presence  | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
FAN4_1_Speed     | na         | RPM        | na    | 500.000   | na        | na        | na        | na        | 23100.000 
ChassisIntrusion | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na        
S0_CPU_Status    | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
S1_CPU_Status    | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
FAN3_2_Failure   | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
FAN3_2_Speed     | na         | RPM        | na    | 500.000   | na        | na        | na        | na        | 23100.000 
FAN3_2_Presence  | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
FAN4_2_Failure   | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
FAN4_2_Speed     | na         | RPM        | na    | 500.000   | na        | na        | na        | na        | 23100.000 
FAN4_2_Presence  | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
FAN7_1_Failure   | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
FAN6_2_Failure   | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
FAN6_2_Speed     | na         | RPM        | na    | 500.000   | na        | na        | na        | na        | 23100.000 
FAN5_2_Failure   | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
FAN6_1_Presence  | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
FAN5_1_Failure   | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
FAN8_2_Speed     | na         | RPM        | na    | 500.000   | na        | na        | na        | na        | 23100.000 
FAN6_2_Presence  | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
FAN5_2_Presence  | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
FAN5_1_Speed     | na         | RPM        | na    | 500.000   | na        | na        | na        | na        | 23100.000 
FAN8_1_Speed     | na         | RPM        | na    | 500.000   | na        | na        | na        | na        | 23100.000 
FAN6_1_Failure   | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
FAN7_2_Speed     | na         | RPM        | na    | 500.000   | na        | na        | na        | na        | 23100.000 
FAN8_1_Failure   | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
FAN7_2_Failure   | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
FAN5_2_Speed     | na         | RPM        | na    | 500.000   | na        | na        | na        | na        | 23100.000 
FAN7_1_Presence  | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
FAN5_1_Presence  | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
FAN8_1_Presence  | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
FAN7_2_Presence  | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
FAN7_1_Speed     | na         | RPM        | na    | 500.000   | na        | na        | na        | na        | 23100.000 
FAN8_2_Presence  | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
FAN8_2_Failure   | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
FAN6_1_Speed     | na         | RPM        | na    | 500.000   | na        | na        | na        | na        | 23100.000 
PSU1_POUT        | 552.000    | Watts      | ok    | na        | na        | na        | na        | na        | na        
PSU1_TEMP        | 23.000     | degrees C  | ok    | na        | na        | na        | na        | 64.000    | na        
PSU1_FAN_SPEED   | 3000.000   | RPM        | ok    | na        | na        | na        | na        | 20300.000 | na        
PSU2_FAN_SPEED   | 2300.000   | RPM        | ok    | na        | na        | na        | na        | 20300.000 | na        
PSU2_TEMP        | 27.000     | degrees C  | ok    | na        | na        | na        | na        | 64.000    | na        
PSU2_POUT        | 0.000      | Watts      | ok    | na        | na        | na        | na        | na        | na        
Total_Power      | 560.000    | Watts      | ok    | na        | na        | na        | na        | na        | na        
S1_RCA_VR_Pwr    | na         | Watts      | na    | na        | na        | na        | na        | na        | na        
S1_RCA_VR_Temp   | na         | degrees C  | na    | na        | na        | na        | na        | na        | na        
S1_RCA_VR_Volt   | na         | Volts      | na    | na        | na        | na        | na        | na        | na        
S0_RCA_VR_Volt   | 0.896      | Volts      | ok    | na        | na        | na        | na        | na        | na        
S0_RCA_VR_Pwr    | 3.200      | Watts      | ok    | na        | na        | na        | na        | na        | na        
S0_RCA_VR_Temp   | 30.000     | degrees C  | ok    | na        | na        | na        | na        | na        | na        
S1_SOC_TDP       | 210.000    | Watts      | ok    | na        | na        | na        | na        | na        | na        
S0_SOC_TDP       | 210.000    | Watts      | ok    | na        | na        | na        | na        | na        | na        
S0_SOC_Volt      | 0.785      | Volts      | ok    | 0.560     | na        | na        | na        | 0.960     | na        
S1_SOC_Volt      | 0.785      | Volts      | ok    | 0.560     | na        | na        | na        | 0.960     | na        
S0_DIMM_VR1_Curr | 6.000      | Amps       | ok    | na        | na        | na        | na        | na        | na        
S1_Core_VRD_Curr | 16.960     | Amps       | ok    | na        | na        | na        | na        | na        | na        
S1_DIMM_VR1_Curr | 0.000      | Amps       | ok    | na        | na        | na        | na        | na        | na        
S1_SOC_VRD_Curr  | 0.000      | Amps       | ok    | na        | na        | na        | na        | na        | na        
S1_DIMM_VR2_Curr | 0.000      | Amps       | ok    | na        | na        | na        | na        | na        | na        
S0_RCA_VRD_Curr  | 4.000      | Amps       | ok    | na        | na        | na        | na        | na        | na        
S0_DIMM_VR2_Curr | 6.000      | Amps       | ok    | na        | na        | na        | na        | na        | na        
S0_Core_VRD_Curr | 16.960     | Amps       | ok    | na        | na        | na        | na        | na        | na        
S0_SOC_VRD_Curr  | 10.960     | Amps       | ok    | na        | na        | na        | na        | na        | na        
S1_RCA_VRD_Curr  | 4.000      | Amps       | ok    | na        | na        | na        | na        | na        | na        
NVMeBP_MaxTemp   | 0.000      | degrees C  | ok    | na        | na        | na        | na        | na        | na        
OCP_Temp         | na         | degrees C  | na    | na        | na        | na        | na        | na        | na        
NVMeM2_MaxTemp   | 0.000      | degrees C  | ok    | na        | na        | na        | na        | na        | na        
S0_DIMM_HOT      | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na        
S1_DIMM_HOT      | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na        
S0_VR_ErrStatus  | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na        
S1_VR_ErrStatus  | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na        
S0_Refresh_Rate  | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na        
S1_Refresh_Rate  | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na        
S0_PCIE_HP       | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na        
S1_PCIE_HP       | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na        search_board_type Mt.Jade
Pseudo-terminal will not be allocated because stdin is not a terminal.
Setting large buffer to 32767
Event_log        | 0x0        | discrete   | 0x1080| na        | na        | na        | na        | na        | na        
FAN3_1_Speed     | 20200.000  | RPM        | ok    | 500.000   | na        | na        | na        | na        | 23100.000 
FAN3_1_Failure   | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na        
FAN3_1_Presence  | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na        
TS1_Temp         | 28.000     | degrees C  | ok    | na        | na        | na        | na        | 50.000    | na        
TS2_Temp         | 30.000     | degrees C  | ok    | na        | na        | na        | na        | 50.000    | na        
TS4_Temp         | 28.000     | degrees C  | ok    | na        | na        | na        | na        | 50.000    | na        
TS3_Temp         | 28.000     | degrees C  | ok    | na        | na        | na        | na        | 50.000    | na        
TS6_Temp         | 28.000     | degrees C  | ok    | na        | na        | na        | na        | 50.000    | na        
TS5_Temp         | 30.000     | degrees C  | ok    | na        | na        | na        | na        | 50.000    | na        
S0_SOC_Temp      | 36.000     | degrees C  | ok    | na        | na        | na        | na        | 105.000   | na        
S0_SOC_VRD_Temp  | 30.000     | degrees C  | ok    | na        | na        | na        | na        | 105.000   | na        
S0_DIMM_VRD_Temp | 31.000     | degrees C  | ok    | na        | na        | na        | na        | 105.000   | na        
S0_Core_VRD_Temp | 29.000     | degrees C  | ok    | na        | na        | na        | na        | 105.000   | na        
S0_DIMMG0_Temp   | 29.000     | degrees C  | ok    | na        | na        | na        | na        | 85.000    | na        
S0_CPU_Pwr       | 26.000     | Watts      | ok    | na        | na        | na        | na        | 500.000   | na        
S0_MEM_Pwr       | 12.800     | Watts      | ok    | na        | na        | na        | na        | na        | na        
Watchdog2        | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na        
S0_CPU_VCORE     | 0.975      | Volts      | ok    | 0.720     | na        | na        | na        | 1.120     | na        
S0_DIMM_VR1_Volt | 1.134      | Volts      | nr    | 1.141     | na        | na        | na        | 1.260     | na        
S0_DIMM_VR2_Volt | 1.134      | Volts      | nr    | 1.141     | na        | na        | na        | 1.260     | na        
S0_DIMM_DDR_Volt | 1.134      | Volts      | ok    | na        | na        | na        | na        | na        | na        
S0_CPU_PROC_HOT  | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na        
S0_Memory_Status | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na        
S0_ACPI_State    | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
S0_0V8_VDDC_SOC  | 0.820      | Volts      | ok    | 0.560     | na        | na        | na        | 0.960     | na        
S0_0V75_PCP      | 0.980      | Volts      | ok    | 0.504     | na        | na        | na        | 1.323     | na        
S0_1V2_VDDQ0123  | 1.141      | Volts      | ok    | 0.840     | na        | na        | na        | 1.442     | na        
S0_0V6_VTT0123   | 0.568      | Volts      | ok    | 0.420     | na        | na        | na        | 0.720     | na        
S0_2V5_VPP0123   | 2.505      | Volts      | ok    | 1.755     | na        | na        | na        | 3.000     | na        
S0_1V2_VDDQ4567  | 1.141      | Volts      | ok    | 0.840     | na        | na        | na        | 1.442     | na        
S0_0V6_VTT4567   | 0.572      | Volts      | ok    | 0.420     | na        | na        | na        | 0.720     | na        
S0_2V5_VPP4567   | 2.505      | Volts      | ok    | 1.755     | na        | na        | na        | 3.000     | na        
S0_0V85_RCA      | 0.905      | Volts      | ok    | 0.630     | na        | na        | na        | 1.080     | na        
S0_1V8_VDDH      | 1.793      | Volts      | ok    | 1.265     | na        | na        | na        | 2.156     | na        
S0_1V5_VDDH      | 1.503      | Volts      | ok    | 1.053     | na        | na        | na        | 1.800     | na        
S0_1V8_SOC       | 1.760      | Volts      | ok    | 1.265     | na        | na        | na        | 2.156     | na        
S0_1V8_PCP       | 1.793      | Volts      | ok    | 1.265     | na        | na        | na        | 2.156     | na        
S0_3V3_SOC       | 3.280      | Volts      | ok    | 2.320     | na        | na        | na        | 3.960     | na        
Sys_Boot_Restart | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na        
S0_DIMM_VR1_Pwr  | 5.460      | Watts      | ok    | na        | na        | na        | na        | 79.950    | na        
S0_DIMM_VR2_Pwr  | 7.410      | Watts      | ok    | na        | na        | na        | na        | 79.950    | na        
S0_SoC_Error     | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na        
S0_PCIE_Status   | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na        
S1_0V8_VDDC_SOC  | 0.790      | Volts      | ok    | 0.560     | na        | na        | na        | 0.960     | na        
S1_0V75_PCP      | na         | Volts      | na    | 0.504     | na        | na        | na        | 1.323     | na        
S1_1V2_VDDQ0123  | 1.141      | Volts      | ok    | 0.840     | na        | na        | na        | 1.442     | na        
S1_0V6_VTT0123   | 0.568      | Volts      | ok    | 0.420     | na        | na        | na        | 0.720     | na        
S1_2V5_VPP0123   | 2.505      | Volts      | ok    | 1.755     | na        | na        | na        | 3.000     | na        
S1_1V2_VDDQ4567  | 1.141      | Volts      | ok    | 0.840     | na        | na        | na        | 1.442     | na        
S1_0V6_VTT4567   | 0.572      | Volts      | ok    | 0.420     | na        | na        | na        | 0.720     | na        
S1_2V5_VPP4567   | 2.505      | Volts      | ok    | 1.755     | na        | na        | na        | 3.000     | na        
S1_0V85_RCA      | 0.905      | Volts      | ok    | 0.630     | na        | na        | na        | 1.080     | na        
S1_1V8_VDDH      | 1.793      | Volts      | ok    | 1.265     | na        | na        | na        | 2.156     | na        
S1_1V5_VDDH      | 1.503      | Volts      | ok    | 1.053     | na        | na        | na        | 1.800     | na        
S1_1V8_SOC       | 1.793      | Volts      | ok    | 1.265     | na        | na        | na        | 2.156     | na        
S1_1V8_PCP       | na         | Volts      | na    | 1.265     | na        | na        | na        | 2.156     | na        
S1_3V3_SOC       | 3.300      | Volts      | ok    | 2.320     | na        | na        | na        | 3.960     | na        
3V3_SB           | 3.300      | Volts      | ok    | 2.320     | na        | na        | na        | 3.960     | na        
VBAT_RTC         | 3.204      | Volts      | ok    | 2.106     | na        | na        | na        | 3.564     | na        
S1_ACPI_State    | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
S1_DIMM_VRD_Temp | 30.000     | degrees C  | ok    | na        | na        | na        | na        | 105.000   | na        
S1_Core_VRD_Temp | 28.000     | degrees C  | ok    | na        | na        | na        | na        | 105.000   | na        
S1_DIMM_VR2_Pwr  | 0.000      | Watts      | ok    | na        | na        | na        | na        | 79.950    | na        
S1_DIMM_DDR_Volt | 1.134      | Volts      | ok    | na        | na        | na        | na        | na        | na        
S1_MEM_Pwr       | 0.000      | Watts      | ok    | na        | na        | na        | na        | na        | na        
S1_DIMM_VR1_Pwr  | 0.000      | Watts      | ok    | na        | na        | na        | na        | 79.950    | na        
S1_SoC_Error     | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na        
S1_SOC_VRD_Temp  | 31.000     | degrees C  | ok    | na        | na        | na        | na        | 105.000   | na        
S1_DIMM_VR1_Volt | 1.134      | Volts      | nr    | 1.141     | na        | na        | na        | 1.260     | na        
S1_DIMM_VR2_Volt | 1.134      | Volts      | nr    | 1.141     | na        | na        | na        | 1.260     | na        
S1_SOC_Temp      | 33.000     | degrees C  | ok    | na        | na        | na        | na        | 105.000   | na        
S1_PCIE_Status   | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na        
S1_CPU_Pwr       | 16.000     | Watts      | ok    | na        | na        | na        | na        | 500.000   | na        
S1_CPU_VCORE     | 0.980      | Volts      | ok    | 0.720     | na        | na        | na        | 1.120     | na        
S1_Memory_Status | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na        
S1_DIMMG0_Temp   | na         | degrees C  | na    | na        | na        | na        | na        | 85.000    | na        
S1_CPU_PROC_HOT  | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na        
FAN4_1_Failure   | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na        
FAN4_1_Presence  | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na        
FAN4_1_Speed     | 20600.000  | RPM        | ok    | 500.000   | na        | na        | na        | na        | 23100.000 
ChassisIntrusion | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na        
S0_CPU_Status    | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na        
S1_CPU_Status    | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na        
FAN3_2_Failure   | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na        
FAN3_2_Speed     | 19200.000  | RPM        | ok    | 500.000   | na        | na        | na        | na        | 23100.000 
FAN3_2_Presence  | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na        
FAN4_2_Failure   | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na        
FAN4_2_Speed     | 19100.000  | RPM        | ok    | 500.000   | na        | na        | na        | na        | 23100.000 
FAN4_2_Presence  | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na        
FAN7_1_Failure   | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na        
FAN6_2_Failure   | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na        
FAN6_2_Speed     | 18900.000  | RPM        | ok    | 500.000   | na        | na        | na        | na        | 23100.000 
FAN5_2_Failure   | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na        
FAN6_1_Presence  | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na        
FAN5_1_Failure   | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na        
FAN8_2_Speed     | 18900.000  | RPM        | ok    | 500.000   | na        | na        | na        | na        | 23100.000 
FAN6_2_Presence  | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na        
FAN5_2_Presence  | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na        
FAN5_1_Speed     | 20500.000  | RPM        | ok    | 500.000   | na        | na        | na        | na        | 23100.000 
FAN8_1_Speed     | 20500.000  | RPM        | ok    | 500.000   | na        | na        | na        | na        | 23100.000 
FAN6_1_Failure   | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na        
FAN7_2_Speed     | 19000.000  | RPM        | ok    | 500.000   | na        | na        | na        | na        | 23100.000 
FAN8_1_Failure   | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na        
FAN7_2_Failure   | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na        
FAN5_2_Speed     | 19100.000  | RPM        | ok    | 500.000   | na        | na        | na        | na        | 23100.000 
FAN7_1_Presence  | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na        
FAN5_1_Presence  | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na        
FAN8_1_Presence  | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na        
FAN7_2_Presence  | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na        
FAN7_1_Speed     | 20500.000  | RPM        | ok    | 500.000   | na        | na        | na        | na        | 23100.000 
FAN8_2_Presence  | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na        
FAN8_2_Failure   | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na        
FAN6_1_Speed     | 20400.000  | RPM        | ok    | 500.000   | na        | na        | na        | na        | 23100.000 
PSU1_POUT        | 616.000    | Watts      | ok    | na        | na        | na        | na        | na        | na        
PSU1_TEMP        | 21.000     | degrees C  | ok    | na        | na        | na        | na        | 64.000    | na        
PSU1_FAN_SPEED   | 3000.000   | RPM        | ok    | na        | na        | na        | na        | 20300.000 | na        
PSU2_FAN_SPEED   | 2400.000   | RPM        | ok    | na        | na        | na        | na        | 20300.000 | na        
PSU2_TEMP        | 26.000     | degrees C  | ok    | na        | na        | na        | na        | 64.000    | na        
PSU2_POUT        | 0.000      | Watts      | ok    | na        | na        | na        | na        | na        | na        
Total_Power      | 616.000    | Watts      | ok    | na        | na        | na        | na        | na        | na        
S1_RCA_VR_Pwr    | 3.200      | Watts      | ok    | na        | na        | na        | na        | na        | na        
S1_RCA_VR_Temp   | 29.000     | degrees C  | ok    | na        | na        | na        | na        | na        | na        
S1_RCA_VR_Volt   | 0.896      | Volts      | ok    | na        | na        | na        | na        | na        | na        
S0_RCA_VR_Volt   | 0.896      | Volts      | ok    | na        | na        | na        | na        | na        | na        
S0_RCA_VR_Pwr    | 4.000      | Watts      | ok    | na        | na        | na        | na        | na        | na        
S0_RCA_VR_Temp   | 32.000     | degrees C  | ok    | na        | na        | na        | na        | na        | na        
S1_SOC_TDP       | 210.000    | Watts      | ok    | na        | na        | na        | na        | na        | na        
S0_SOC_TDP       | 210.000    | Watts      | ok    | na        | na        | na        | na        | na        | na        
S0_SOC_Volt      | 0.785      | Volts      | ok    | 0.560     | na        | na        | na        | 0.960     | na        
S1_SOC_Volt      | 0.785      | Volts      | ok    | 0.560     | na        | na        | na        | 0.960     | na        
S0_DIMM_VR1_Curr | 10.000     | Amps       | ok    | na        | na        | na        | na        | na        | na        
S1_Core_VRD_Curr | 16.960     | Amps       | ok    | na        | na        | na        | na        | na        | na        
S1_DIMM_VR1_Curr | 0.000      | Amps       | ok    | na        | na        | na        | na        | na        | na        
S1_SOC_VRD_Curr  | 0.000      | Amps       | ok    | na        | na        | na        | na        | na        | na        
S1_DIMM_VR2_Curr | 0.000      | Amps       | ok    | na        | na        | na        | na        | na        | na        
S0_RCA_VRD_Curr  | 4.000      | Amps       | ok    | na        | na        | na        | na        | na        | na        
