search_board_type Mt.Jade
./sshpass -p Ampere@4655 ssh -o StrictHostKeyChecking=no -t amplab@10.38.162.2 'ipmitool -H 10.38.162.44 -U ADMIN -P ADMIN  sel list'
Pseudo-terminal will not be allocated because stdin is not a terminal.
   1 | 04/27/2021 | 10:42:20 | Power Supply #0xf8 | Presence detected | Deasserted
  19 | 04/27/2021 | 11:19:50 | OEM record c0 | 00cd3a | 0feb70120000
  1a | 04/27/2021 | 11:26:50 | System ACPI Power State #0x7a | S5/G2: soft-off | Asserted
  1b | 04/27/2021 | 11:26:50 | System ACPI Power State #0x8a | S5/G2: soft-off | Asserted
  1c | 04/27/2021 | 11:27:25 | OEM record c0 | 00cd3a | cbe570ffffff
  1d | 04/27/2021 | 11:27:42 | OEM record c0 | 00cd3a | cbe57001ffff
  1e | 04/27/2021 | 11:27:42 | System ACPI Power State #0x7a | S0/G0: working | Asserted
  1f | 04/27/2021 | 11:27:42 | System ACPI Power State #0x8a | S0/G0: working | Asserted
  20 | 04/27/2021 | 11:27:42 | OEM record c0 | 00cd3a | 0feb70020000
  21 | 04/27/2021 | 11:27:42 | OEM record c0 | 00cd3a | ca8f7101ffff
  22 | 04/27/2021 | 11:27:42 | OEM record c0 | 00cd3a | ca907101ffff
  23 | 04/27/2021 | 11:27:43 | OEM record c0 | 00cd3a | 0feb70120000
  24 | 04/27/2021 | 11:27:43 | OEM record c0 | 00cd3a | ca8ff101ffff
  25 | 04/27/2021 | 11:27:43 | OEM record c0 | 00cd3a | ca90f101ffff
  26 | 04/27/2021 | 11:34:46 | System ACPI Power State #0x7a | S5/G2: soft-off | Asserted
  27 | 04/27/2021 | 11:34:46 | System ACPI Power State #0x8a | S5/G2: soft-off | Asserted
  28 | 04/27/2021 | 11:35:21 | OEM record c0 | 00cd3a | cbe570ffffff
  29 | 04/27/2021 | 11:35:38 | OEM record c0 | 00cd3a | cbe57001ffff
  2a | 04/27/2021 | 11:35:38 | System ACPI Power State #0x7a | S0/G0: working | Asserted
  2b | 04/27/2021 | 11:35:38 | System ACPI Power State #0x8a | S0/G0: working | Asserted
  2c | 04/27/2021 | 11:35:38 | OEM record c0 | 00cd3a | 0feb70020000
  2d | 04/27/2021 | 11:35:38 | OEM record c0 | 00cd3a | ca8f7101ffff
  2e | 04/27/2021 | 11:35:38 | OEM record c0 | 00cd3a | ca907101ffff
  2f | 04/27/2021 | 11:35:39 | OEM record c0 | 00cd3a | 0feb70120000
  30 | 04/27/2021 | 11:35:39 | OEM record c0 | 00cd3a | ca8ff101ffff
  31 | 04/27/2021 | 11:35:39 | OEM record c0 | 00cd3a | ca90f101ffff
  32 | 04/27/2021 | 11:42:40 | System ACPI Power State #0x7a | S5/G2: soft-off | Asserted
  33 | 04/27/2021 | 11:42:40 | System ACPI Power State #0x8a | S5/G2: soft-off | Asserted
  34 | 04/27/2021 | 11:43:15 | OEM record c0 | 00cd3a | cbe570ffffff
  35 | 04/27/2021 | 11:43:32 | OEM record c0 | 00cd3a | cbe57001ffff
  36 | 04/27/2021 | 11:43:32 | System ACPI Power State #0x7a | S0/G0: working | Asserted
  37 | 04/27/2021 | 11:43:32 | System ACPI Power State #0x8a | S0/G0: working | Asserted
  38 | 04/27/2021 | 11:43:32 | OEM record c0 | 00cd3a | 0feb70020000
  39 | 04/27/2021 | 11:43:32 | OEM record c0 | 00cd3a | ca8f7101ffff
  3a | 04/27/2021 | 11:43:33 | OEM record c0 | 00cd3a | ca907101ffff
  3b | 04/27/2021 | 11:43:33 | OEM record c0 | 00cd3a | 0feb70120000
  3c | 04/27/2021 | 11:43:33 | OEM record c0 | 00cd3a | ca8ff101ffff
  3d | 04/27/2021 | 11:43:34 | OEM record c0 | 00cd3a | ca90f101ffff
  3e | 04/27/2021 | 11:50:34 | System ACPI Power State #0x7a | S5/G2: soft-off | Asserted
  3f | 04/27/2021 | 11:50:34 | System ACPI Power State #0x8a | S5/G2: soft-off | Asserted
  40 | 04/27/2021 | 11:51:09 | OEM record c0 | 00cd3a | cbe570ffffff
  41 | 04/27/2021 | 11:51:26 | OEM record c0 | 00cd3a | ca907101ffff
  42 | 04/27/2021 | 11:51:27 | OEM record c0 | 00cd3a | cbe57001ffff
  43 | 04/27/2021 | 11:51:27 | System ACPI Power State #0x7a | S0/G0: working | Asserted
  44 | 04/27/2021 | 11:51:27 | System ACPI Power State #0x8a | S0/G0: working | Asserted
  45 | 04/27/2021 | 11:51:27 | OEM record c0 | 00cd3a | 0feb70020000
  46 | 04/27/2021 | 11:51:27 | OEM record c0 | 00cd3a | ca8f7101ffff
  47 | 04/27/2021 | 11:51:28 | OEM record c0 | 00cd3a | ca90f101ffff
  48 | 04/27/2021 | 11:51:28 | OEM record c0 | 00cd3a | 0feb70120000
  49 | 04/27/2021 | 11:51:28 | OEM record c0 | 00cd3a | ca8ff101ffff
  4a | 04/27/2021 | 11:58:31 | System ACPI Power State #0x7a | S5/G2: soft-off | Asserted
  4b | 04/27/2021 | 11:58:31 | System ACPI Power State #0x8a | S5/G2: soft-off | Asserted
  4c | 04/27/2021 | 11:59:06 | OEM record c0 | 00cd3a | cbe570ffffff
  4d | 04/27/2021 | 11:59:23 | OEM record c0 | 00cd3a | cbe57001ffff
  4e | 04/27/2021 | 11:59:23 | System ACPI Power State #0x7a | S0/G0: working | Asserted
  4f | 04/27/2021 | 11:59:23 | System ACPI Power State #0x8a | S0/G0: working | Asserted
  50 | 04/27/2021 | 11:59:23 | OEM record c0 | 00cd3a | 0feb70020000
  51 | 04/27/2021 | 11:59:23 | OEM record c0 | 00cd3a | ca8f7101ffff
  52 | 04/27/2021 | 11:59:24 | OEM record c0 | 00cd3a | ca907101ffff
  53 | 04/27/2021 | 11:59:24 | OEM record c0 | 00cd3a | 0feb70120000
  54 | 04/27/2021 | 11:59:24 | OEM record c0 | 00cd3a | ca8ff101ffff
  55 | 04/27/2021 | 11:59:25 | OEM record c0 | 00cd3a | ca90f101ffff
  56 | 04/27/2021 | 12:06:25 | System ACPI Power State #0x7a | S5/G2: soft-off | Asserted
  57 | 04/27/2021 | 12:06:25 | System ACPI Power State #0x8a | S5/G2: soft-off | Asserted
  58 | 04/27/2021 | 12:07:00 | OEM record c0 | 00cd3a | cbe570ffffff
  59 | 04/27/2021 | 12:07:17 | OEM record c0 | 00cd3a | ca907101ffff
  5a | 04/27/2021 | 12:07:18 | OEM record c0 | 00cd3a | cbe57001ffff
  5b | 04/27/2021 | 12:07:18 | System ACPI Power State #0x7a | S0/G0: working | Asserted
  5c | 04/27/2021 | 12:07:18 | System ACPI Power State #0x8a | S0/G0: working | Asserted
  5d | 04/27/2021 | 12:07:18 | OEM record c0 | 00cd3a | 0feb70020000
  5e | 04/27/2021 | 12:07:19 | OEM record c0 | 00cd3a | ca8f7101ffff
  5f | 04/27/2021 | 12:07:19 | OEM record c0 | 00cd3a | ca90f101ffff
  60 | 04/27/2021 | 12:07:19 | OEM record c0 | 00cd3a | 0feb70120000
  61 | 04/27/2021 | 12:07:20 | OEM record c0 | 00cd3a | ca8ff101ffff
  62 | 04/27/2021 | 12:14:20 | System ACPI Power State #0x7a | S5/G2: soft-off | Asserted
  63 | 04/27/2021 | 12:14:20 | System ACPI Power State #0x8a | S5/G2: soft-off | Asserted
  64 | 04/27/2021 | 12:14:55 | OEM record c0 | 00cd3a | cbe570ffffff
  65 | 04/27/2021 | 12:15:12 | OEM record c0 | 00cd3a | cbe57001ffff
  66 | 04/27/2021 | 12:15:12 | System ACPI Power State #0x7a | S0/G0: working | Asserted
  67 | 04/27/2021 | 12:15:12 | System ACPI Power State #0x8a | S0/G0: working | Asserted
  68 | 04/27/2021 | 12:15:12 | OEM record c0 | 00cd3a | 0feb70020000
  69 | 04/27/2021 | 12:15:12 | OEM record c0 | 00cd3a | ca8f7101ffff
  6a | 04/27/2021 | 12:15:13 | OEM record c0 | 00cd3a | ca907101ffff
  6b | 04/27/2021 | 12:15:13 | OEM record c0 | 00cd3a | 0feb70120000
  6c | 04/27/2021 | 12:15:13 | OEM record c0 | 00cd3a | ca8ff101ffff
  6d | 04/27/2021 | 12:15:13 | OEM record c0 | 00cd3a | ca90f101ffff
  6e | 04/27/2021 | 12:22:15 | System ACPI Power State #0x7a | S5/G2: soft-off | Asserted
  6f | 04/27/2021 | 12:22:15 | System ACPI Power State #0x8a | S5/G2: soft-off | Asserted
  70 | 04/27/2021 | 12:22:50 | OEM record c0 | 00cd3a | cbe570ffffff
  71 | 04/27/2021 | 12:23:07 | OEM record c0 | 00cd3a | cbe57001ffff
  72 | 04/27/2021 | 12:23:07 | System ACPI Power State #0x7a | S0/G0: working | Asserted
  73 | 04/27/2021 | 12:23:07 | System ACPI Power State #0x8a | S0/G0: working | Asserted
  74 | 04/27/2021 | 12:23:07 | OEM record c0 | 00cd3a | 0feb70020000
  75 | 04/27/2021 | 12:23:08 | OEM record c0 | 00cd3a | ca8f7101ffff
  76 | 04/27/2021 | 12:23:08 | OEM record c0 | 00cd3a | ca907101ffff
  77 | 04/27/2021 | 12:23:08 | OEM record c0 | 00cd3a | 0feb70120000
  78 | 04/27/2021 | 12:23:08 | OEM record c0 | 00cd3a | ca8ff101ffff
  79 | 04/27/2021 | 12:23:08 | OEM record c0 | 00cd3a | ca90f101ffff
  7a | 04/27/2021 | 12:30:12 | System ACPI Power State #0x7a | S5/G2: soft-off | Asserted
  7b | 04/27/2021 | 12:30:12 | System ACPI Power State #0x8a | S5/G2: soft-off | Asserted
  7c | 04/27/2021 | 22:48:14 | Power Supply #0xf7 | AC lost or out-of-range | Asserted
  7d | 04/27/2021 | 22:48:14 | Power Unit #0xe8 | AC lost | Asserted
  7e | 04/27/2021 | 22:44:24 | Power Supply #0xf7 | AC lost or out-of-range | Deasserted
  7f | 04/27/2021 | 22:44:24 | Power Unit #0xe8 | AC lost | Deasserted
  80 | 04/27/2021 | 22:44:25 | OEM record c0 | 00cd3a | cbe570ffffff
  81 | 04/27/2021 | 22:44:26 | Power Supply #0xf8 | Presence detected | Deasserted
  82 | 04/27/2021 | 22:44:42 | OEM record c0 | 00cd3a | ca907101ffff
  83 | 04/27/2021 | 22:44:42 | System ACPI Power State #0x7a | S0/G0: working | Asserted
  84 | 04/27/2021 | 22:44:42 | System ACPI Power State #0x8a | S0/G0: working | Asserted
  85 | 04/27/2021 | 22:44:42 | OEM record c0 | 00cd3a | cbe57001ffff
  86 | 04/27/2021 | 22:44:43 | OEM record c0 | 00cd3a | 0feb70020000
  87 | 04/27/2021 | 22:44:43 | OEM record c0 | 00cd3a | ca8f7101ffff
  88 | 04/27/2021 | 22:44:43 | OEM record c0 | 00cd3a | ca90f101ffff
  89 | 04/27/2021 | 22:44:44 | OEM record c0 | 00cd3a | 0feb70120000
  8a | 04/27/2021 | 22:44:44 | OEM record c0 | 00cd3a | ca8ff101ffff
  8b | 04/27/2021 | 22:45:02 | OEM record c0 | 00cd3a | 0feb70220000
  8c | 04/27/2021 | 22:45:03 | OEM record c0 | 00cd3a | 0feb70320000
  8d | 04/27/2021 | 22:45:05 | OEM record c0 | 00cd3a | 0feb70520000
  8e | 04/27/2021 | 22:45:06 | OEM record c0 | 00cd3a | 0feb70620000
  8f | 04/27/2021 | 22:45:41 | OEM record c0 | 00cd3a | 0feb70820000
  90 | 04/27/2021 | 22:45:41 | System Firmwares #0xe4 | System boot initiated | Asserted
  91 | 04/27/2021 | 22:52:34 | Power Supply #0xf8 | Presence detected | Deasserted
  92 | 04/27/2021 | 23:15:20 | System Boot Initiated #0xdc | OS initiated hard reset | Asserted
  93 | 04/27/2021 | 23:15:21 | OEM record c0 | 00cd3a | 0feb70020000
  94 | 04/27/2021 | 23:15:21 | OEM record c0 | 00cd3a | cbe57001ffff
  95 | 04/27/2021 | 23:15:21 | OEM record c0 | 00cd3a | ca8f7101ffff
  96 | 04/27/2021 | 23:15:21 | OEM record c0 | 00cd3a | ca907101ffff
  97 | 04/27/2021 | 23:15:22 | OEM record c0 | 00cd3a | 0feb70120000
  98 | 04/27/2021 | 23:15:22 | OEM record c0 | 00cd3a | ca8ff101ffff
  99 | 04/27/2021 | 23:15:22 | OEM record c0 | 00cd3a | ca90f101ffff
  9a | 04/27/2021 | 23:15:40 | OEM record c0 | 00cd3a | 0feb70220000
  9b | 04/27/2021 | 23:15:41 | OEM record c0 | 00cd3a | 0feb70320000
  9c | 04/27/2021 | 23:15:43 | OEM record c0 | 00cd3a | 0feb70520000
  9d | 04/27/2021 | 23:15:44 | OEM record c0 | 00cd3a | 0feb70620000
  9e | 04/27/2021 | 23:16:25 | OEM record c0 | 00cd3a | 0feb70820000
  9f | 04/27/2021 | 23:16:25 | System Firmwares #0xe4 | System boot initiated | Asserted
  a0 | 04/27/2021 | 23:18:36 | System ACPI Power State #0x7a | S5/G2: soft-off | Asserted
  a1 | 04/27/2021 | 23:18:36 | System ACPI Power State #0x8a | S5/G2: soft-off | Asserted
  a2 | 04/27/2021 | 23:19:11 | OEM record c0 | 00cd3a | cbe570ffffff
  a3 | 04/27/2021 | 23:19:28 | OEM record c0 | 00cd3a | cbe57001ffff
  a4 | 04/27/2021 | 23:19:28 | System ACPI Power State #0x7a | S0/G0: working | Asserted
  a5 | 04/27/2021 | 23:19:28 | System ACPI Power State #0x8a | S0/G0: working | Asserted
  a6 | 04/27/2021 | 23:19:29 | OEM record c0 | 00cd3a | 0feb70020000
  a7 | 04/27/2021 | 23:19:29 | OEM record c0 | 00cd3a | ca8f7101ffff
  a8 | 04/27/2021 | 23:19:29 | OEM record c0 | 00cd3a | ca907101ffff
  a9 | 04/27/2021 | 23:19:30 | OEM record c0 | 00cd3a | 0feb70120000
  aa | 04/27/2021 | 23:19:30 | OEM record c0 | 00cd3a | ca8ff101ffff
  ab | 04/27/2021 | 23:19:30 | OEM record c0 | 00cd3a | ca90f101ffff
  ac | 04/27/2021 | 23:19:48 | OEM record c0 | 00cd3a | 0feb70220000
  ad | 04/27/2021 | 23:19:49 | OEM record c0 | 00cd3a | 0feb70320000
  ae | 04/27/2021 | 23:19:51 | OEM record c0 | 00cd3a | 0feb70520000
  af | 04/27/2021 | 23:19:52 | OEM record c0 | 00cd3a | 0feb70620000
  b0 | 04/27/2021 | 23:41:20 | Power Supply #0xf7 | AC lost or out-of-range | Asserted
  b1 | 04/27/2021 | 23:41:20 | Power Unit #0xe8 | AC lost | Asserted
  b2 | 04/27/2021 | 23:24:54 | Power Supply #0xf7 | AC lost or out-of-range | Deasserted
  b3 | 04/27/2021 | 23:24:54 | Power Unit #0xe8 | AC lost | Deasserted
  b4 | 04/27/2021 | 23:24:55 | OEM record c0 | 00cd3a | cbe570ffffff
  b5 | 04/27/2021 | 23:24:56 | Power Supply #0xf8 | Presence detected | Deasserted
  b6 | 04/27/2021 | 23:25:12 | OEM record c0 | 00cd3a | ca907101ffff
  b7 | 04/27/2021 | 23:25:13 | OEM record c0 | 00cd3a | cbe57001ffff
  b8 | 04/27/2021 | 23:25:13 | System ACPI Power State #0x7a | S0/G0: working | Asserted
  b9 | 04/27/2021 | 23:25:13 | System ACPI Power State #0x8a | S0/G0: working | Asserted
  ba | 04/27/2021 | 23:25:13 | OEM record c0 | 00cd3a | 0feb70020000
  bb | 04/27/2021 | 23:25:14 | OEM record c0 | 00cd3a | ca8f7101ffff
  bc | 04/27/2021 | 23:25:14 | OEM record c0 | 00cd3a | ca90f101ffff
  bd | 04/27/2021 | 23:25:14 | OEM record c0 | 00cd3a | 0feb70120000
  be | 04/27/2021 | 23:25:15 | OEM record c0 | 00cd3a | ca8ff101ffff
  bf | 04/27/2021 | 23:25:32 | OEM record c0 | 00cd3a | 0feb70220000
  c0 | 04/27/2021 | 23:25:33 | OEM record c0 | 00cd3a | 0feb70320000
  c1 | 04/27/2021 | 23:25:35 | OEM record c0 | 00cd3a | 0feb70520000
  c2 | 04/27/2021 | 23:25:36 | OEM record c0 | 00cd3a | 0feb70620000
  c3 | 04/27/2021 | 23:25:59 | OEM record c0 | 00cd3a | 0feb70820000
  c4 | 04/27/2021 | 23:25:59 | System Firmwares #0xe4 | System boot initiated | Asserted
  c5 | 04/27/2021 | 23:51:32 | System ACPI Power State #0x7a | S5/G2: soft-off | Asserted
  c6 | 04/27/2021 | 23:51:32 | System ACPI Power State #0x8a | S5/G2: soft-off | Asserted
  c7 | 04/27/2021 | 23:57:24 | OEM record c0 | 00cd3a | cbe570ffffff
  c8 | 04/27/2021 | 23:57:41 | OEM record c0 | 00cd3a | ca907101ffff
  c9 | 04/27/2021 | 23:57:42 | OEM record c0 | 00cd3a | cbe57001ffff
  ca | 04/27/2021 | 23:57:42 | System ACPI Power State #0x7a | S0/G0: working | Asserted
  cb | 04/27/2021 | 23:57:42 | System ACPI Power State #0x8a | S0/G0: working | Asserted
  cc | 04/27/2021 | 23:57:42 | OEM record c0 | 00cd3a | 0feb70020000
  cd | 04/27/2021 | 23:57:42 | OEM record c0 | 00cd3a | ca8f7101ffff
  ce | 04/27/2021 | 23:57:42 | OEM record c0 | 00cd3a | ca90f101ffff
  cf | 04/27/2021 | 23:57:43 | OEM record c0 | 00cd3a | 0feb70120000
  d0 | 04/27/2021 | 23:57:43 | OEM record c0 | 00cd3a | ca8ff101ffff
  d1 | 04/27/2021 | 23:58:01 | OEM record c0 | 00cd3a | 0feb70220000
  d2 | 04/27/2021 | 23:58:02 | OEM record c0 | 00cd3a | 0feb70320000
  d3 | 04/27/2021 | 23:58:04 | OEM record c0 | 00cd3a | 0feb70520000
  d4 | 04/27/2021 | 23:58:05 | OEM record c0 | 00cd3a | 0feb70620000
  d5 | 04/27/2021 | 23:58:57 | OEM record c0 | 00cd3a | 0feb70820000
  d6 | 04/27/2021 | 23:58:57 | System Firmwares #0xe4 | System boot initiated | Asserted
  d7 | 04/28/2021 | 00:13:46 | OEM record c0 | 00cd3a | ca907101ffff
  d8 | 04/28/2021 | 00:13:46 | OEM record c0 | 00cd3a | cbe57001ffff
  d9 | 04/28/2021 | 00:13:47 | System Boot Initiated #0xdc | System Restart | Asserted
  da | 04/28/2021 | 00:13:47 | OEM record c0 | 00cd3a | 0feb70020000
  db | 04/28/2021 | 00:13:47 | OEM record c0 | 00cd3a | ca8f7101ffff
  dc | 04/28/2021 | 00:13:47 | OEM record c0 | 00cd3a | ca90f101ffff
  dd | 04/28/2021 | 00:13:48 | OEM record c0 | 00cd3a | 0feb70120000
  de | 04/28/2021 | 00:13:48 | OEM record c0 | 00cd3a | ca8ff101ffff
  df | 04/28/2021 | 00:14:05 | OEM record c0 | 00cd3a | 0feb70220000
  e0 | 04/28/2021 | 00:14:06 | OEM record c0 | 00cd3a | 0feb70320000
  e1 | 04/28/2021 | 00:14:08 | OEM record c0 | 00cd3a | 0feb70520000
  e2 | 04/28/2021 | 00:14:09 | OEM record c0 | 00cd3a | 0feb70620000
  e3 | 04/28/2021 | 00:16:08 | OEM record c0 | 00cd3a | 0feb70820000
  e4 | 04/28/2021 | 00:16:08 | System Firmwares #0xe4 | System boot initiated | Asserted
  e5 | 04/28/2021 | 00:34:54 | OEM record c0 | 00cd3a | ca907101ffff
  e6 | 04/28/2021 | 00:34:55 | System Boot Initiated #0xdc | OS initiated hard reset | Asserted
  e7 | 04/28/2021 | 00:34:55 | OEM record c0 | 00cd3a | cbe57001ffff
  e8 | 04/28/2021 | 00:34:55 | OEM record c0 | 00cd3a | 0feb70020000
  e9 | 04/28/2021 | 00:34:55 | OEM record c0 | 00cd3a | ca8f7101ffff
  ea | 04/28/2021 | 00:34:55 | OEM record c0 | 00cd3a | ca90f101ffff
  eb | 04/28/2021 | 00:34:56 | OEM record c0 | 00cd3a | 0feb70120000
  ec | 04/28/2021 | 00:34:56 | OEM record c0 | 00cd3a | ca8ff101ffff
  ed | 04/28/2021 | 00:35:14 | OEM record c0 | 00cd3a | 0feb70220000
  ee | 04/28/2021 | 00:35:15 | OEM record c0 | 00cd3a | 0feb70320000
  ef | 04/28/2021 | 00:35:17 | OEM record c0 | 00cd3a | 0feb70520000
  f0 | 04/28/2021 | 00:35:18 | OEM record c0 | 00cd3a | 0feb70620000
  f1 | 04/28/2021 | 00:35:51 | OEM record c0 | 00cd3a | 0feb70820000
  f2 | 04/28/2021 | 00:35:51 | System Firmwares #0xe4 | System boot initiated | Asserted
  f3 | 04/28/2021 | 00:41:24 | OEM record c0 | 00cd3a | ca907101ffff
  f4 | 04/28/2021 | 00:41:25 | OEM record c0 | 00cd3a | ca8f7101ffff
  f5 | 04/28/2021 | 00:41:25 | OEM record c0 | 00cd3a | ca90f101ffff
  f6 | 04/28/2021 | 00:41:26 | OEM record c0 | 00cd3a | 0feb70020000
  f7 | 04/28/2021 | 00:41:26 | OEM record c0 | 00cd3a | ca8ff101ffff
  f8 | 04/28/2021 | 00:41:26 | System Boot Initiated #0xdc | OS initiated hard reset | Asserted
  f9 | 04/28/2021 | 00:41:26 | OEM record c0 | 00cd3a | cbe57001ffff
  fa | 04/28/2021 | 00:41:27 | OEM record c0 | 00cd3a | 0feb70120000
  fb | 04/28/2021 | 00:41:44 | OEM record c0 | 00cd3a | 0feb70220000
  fc | 04/28/2021 | 00:41:45 | OEM record c0 | 00cd3a | 0feb70320000
  fd | 04/28/2021 | 00:41:47 | OEM record c0 | 00cd3a | 0feb70520000
  fe | 04/28/2021 | 00:41:48 | OEM record c0 | 00cd3a | 0feb70620000
  ff | 04/28/2021 | 00:43:39 | OEM record c0 | 00cd3a | ca907101ffff
 100 | 04/28/2021 | 00:43:40 | OEM record c0 | 00cd3a | ca8f7101ffff
 101 | 04/28/2021 | 00:43:40 | OEM record c0 | 00cd3a | ca90f101ffff
 102 | 04/28/2021 | 00:43:41 | System Boot Initiated #0xdc | OS initiated hard reset | Asserted
 103 | 04/28/2021 | 00:43:41 | OEM record c0 | 00cd3a | cbe57001ffff
 104 | 04/28/2021 | 00:43:41 | OEM record c0 | 00cd3a | 0feb70020000
 105 | 04/28/2021 | 00:43:41 | OEM record c0 | 00cd3a | ca8ff101ffff
 106 | 04/28/2021 | 00:43:42 | OEM record c0 | 00cd3a | 0feb70120000
 107 | 04/28/2021 | 00:43:58 | OEM record c0 | 00cd3a | 0feb70220000
 108 | 04/28/2021 | 00:43:59 | OEM record c0 | 00cd3a | 0feb70320000
 109 | 04/28/2021 | 00:44:01 | OEM record c0 | 00cd3a | 0feb70520000
 10a | 04/28/2021 | 00:44:02 | OEM record c0 | 00cd3a | 0feb70620000
 10b | 04/28/2021 | 00:47:04 | OEM record c0 | 00cd3a | 0feb70820000
 10c | 04/28/2021 | 00:47:04 | System Firmwares #0xe4 | System boot initiated | Asserted
 10d | 04/28/2021 | 00:47:30 | OEM record c0 | 00cd3a | ca907101ffff
 10e | 04/28/2021 | 00:47:31 | System Boot Initiated #0xdc | OS initiated hard reset | Asserted
 10f | 04/28/2021 | 00:47:31 | OEM record c0 | 00cd3a | cbe57001ffff
 110 | 04/28/2021 | 00:47:31 | OEM record c0 | 00cd3a | 0feb70020000
 111 | 04/28/2021 | 00:47:31 | OEM record c0 | 00cd3a | ca8f7101ffff
 112 | 04/28/2021 | 00:47:32 | OEM record c0 | 00cd3a | ca90f101ffff
 113 | 04/28/2021 | 00:47:32 | OEM record c0 | 00cd3a | 0feb70120000
 114 | 04/28/2021 | 00:47:32 | OEM record c0 | 00cd3a | ca8ff101ffff
 115 | 04/28/2021 | 00:47:50 | OEM record c0 | 00cd3a | 0feb70220000
 116 | 04/28/2021 | 00:47:51 | OEM record c0 | 00cd3a | 0feb70320000
 117 | 04/28/2021 | 00:47:53 | OEM record c0 | 00cd3a | 0feb70520000
 118 | 04/28/2021 | 00:47:54 | OEM record c0 | 00cd3a | 0feb70620000
 119 | 04/28/2021 | 00:51:57 | OEM record c0 | 00cd3a | ca907101ffff
 11a | 04/28/2021 | 00:51:57 | OEM record c0 | 00cd3a | cbe57001ffff
 11b | 04/28/2021 | 00:51:57 | System Boot Initiated #0xdc | System Restart | Asserted
 11c | 04/28/2021 | 00:51:58 | OEM record c0 | 00cd3a | 0feb70020000
 11d | 04/28/2021 | 00:51:59 | OEM record c0 | 00cd3a | ca8f7101ffff
 11e | 04/28/2021 | 00:51:59 | OEM record c0 | 00cd3a | ca90f101ffff
 11f | 04/28/2021 | 00:51:59 | OEM record c0 | 00cd3a | 0feb70120000
 120 | 04/28/2021 | 00:51:59 | OEM record c0 | 00cd3a | ca8ff101ffff
 121 | 04/28/2021 | 00:52:16 | OEM record c0 | 00cd3a | 0feb70220000
 122 | 04/28/2021 | 00:52:17 | OEM record c0 | 00cd3a | 0feb70320000
 123 | 04/28/2021 | 00:52:19 | OEM record c0 | 00cd3a | 0feb70520000
 124 | 04/28/2021 | 00:52:20 | OEM record c0 | 00cd3a | 0feb70620000
 125 | 04/28/2021 | 00:56:25 | OEM record c0 | 00cd3a | 0feb70820000
 126 | 04/28/2021 | 00:56:25 | System Firmwares #0xe4 | System boot initiated | Asserted
 127 | 04/28/2021 | 02:00:12 | System ACPI Power State #0x7a | S5/G2: soft-off | Asserted
 128 | 04/28/2021 | 02:00:12 | System ACPI Power State #0x8a | S5/G2: soft-off | Asserted
 129 | 04/28/2021 | 02:03:06 | OEM record c0 | 00cd3a | cbe570ffffff
 12a | 04/28/2021 | 02:03:23 | OEM record c0 | 00cd3a | ca907101ffff
