Host 10.38.175.43 not found in /home/amcclab/.ssh/known_hosts
search_board_type Mt.Jade
./sshpass -p amcc1234 ssh -o StrictHostKeyChecking=no -t amcclab@10.38.175.31 'ipmitool -H 10.38.175.43 -U ADMIN -P ADMIN  sel list'
Pseudo-terminal will not be allocated because stdin is not a terminal.
   1 | 04/26/2021 | 07:13:21 | System ACPI Power State #0x7a | S5/G2: soft-off | Asserted
  74 | 04/28/2021 | 22:42:32 | OEM record c0 | 00cd3a | ca90f112ffff
  75 | 04/28/2021 | 22:42:38 | OEM record c0 | 040061 | cae26f00ffff
  76 | 04/28/2021 | 22:56:31 | System ACPI Power State #0x7a | S5/G2: soft-off | Asserted
  77 | 04/28/2021 | 22:56:31 | System ACPI Power State #0x8a | S5/G2: soft-off | Asserted
  78 | 04/28/2021 | 22:59:19 | System ACPI Power State #0x7a | S0/G0: working | Asserted
  79 | 04/28/2021 | 22:59:19 | System ACPI Power State #0x8a | S0/G0: working | Asserted
  7a | 04/28/2021 | 22:59:19 | OEM record c0 | 00cd3a | 0feb70020000
  7b | 04/28/2021 | 22:59:20 | OEM record c0 | 00cd3a | 0feb70120000
  7c | 04/28/2021 | 23:02:01 | System Firmwares #0xe4 | Unspecified | Asserted
  7d | 04/28/2021 | 23:02:01 | OEM record c0 | 00cd3a | 0feb70230000
  7e | 04/28/2021 | 23:02:12 | System ACPI Power State #0x7a | S5/G2: soft-off | Asserted
  7f | 04/28/2021 | 23:02:12 | System ACPI Power State #0x8a | S5/G2: soft-off | Asserted
  80 | 04/28/2021 | 23:02:58 | System ACPI Power State #0x7a | S0/G0: working | Asserted
  81 | 04/28/2021 | 23:02:58 | System ACPI Power State #0x8a | S0/G0: working | Asserted
  82 | 04/28/2021 | 23:02:59 | OEM record c0 | 00cd3a | 0feb70020000
  83 | 04/28/2021 | 23:03:00 | OEM record c0 | 00cd3a | 0feb70120000
  84 | 04/28/2021 | 23:05:40 | System Firmwares #0xe4 | Unspecified | Asserted
  85 | 04/28/2021 | 23:05:40 | OEM record c0 | 00cd3a | 0feb70230000
  86 | 04/28/2021 | 23:07:50 | System ACPI Power State #0x7a | S5/G2: soft-off | Asserted
  87 | 04/28/2021 | 23:07:50 | System ACPI Power State #0x8a | S5/G2: soft-off | Asserted
  88 | 04/28/2021 | 23:11:27 | System ACPI Power State #0x7a | S0/G0: working | Asserted
  89 | 04/28/2021 | 23:11:27 | System ACPI Power State #0x8a | S0/G0: working | Asserted
  8a | 04/28/2021 | 23:11:27 | OEM record c0 | 00cd3a | 0feb70020000
  8b | 04/28/2021 | 23:11:28 | OEM record c0 | 00cd3a | 0feb70120000
  8c | 04/28/2021 | 23:11:29 | Voltage #0x75 | Lower Non-recoverable going low  | Deasserted
  8d | 04/28/2021 | 23:11:29 | Voltage #0x76 | Lower Non-recoverable going low  | Deasserted
  8e | 04/28/2021 | 23:11:30 | Voltage #0x85 | Lower Non-recoverable going low  | Deasserted
  8f | 04/28/2021 | 23:11:30 | Voltage #0x86 | Lower Non-recoverable going low  | Deasserted
  90 | 04/28/2021 | 23:14:09 | System Firmwares #0xe4 | Unspecified | Asserted
  91 | 04/28/2021 | 23:14:09 | OEM record c0 | 00cd3a | 0feb70230000
  92 | 04/28/2021 | 23:14:20 | System ACPI Power State #0x7a | S5/G2: soft-off | Asserted
  93 | 04/28/2021 | 23:14:20 | System ACPI Power State #0x8a | S5/G2: soft-off | Asserted
  94 | 04/28/2021 | 23:15:08 | System ACPI Power State #0x7a | S0/G0: working | Asserted
  95 | 04/28/2021 | 23:15:08 | System ACPI Power State #0x8a | S0/G0: working | Asserted
  96 | 04/28/2021 | 23:15:09 | OEM record c0 | 00cd3a | 0feb70020000
  97 | 04/28/2021 | 23:15:09 | OEM record c0 | 00cd3a | 0feb70120000
  98 | 04/28/2021 | 23:17:51 | System Firmwares #0xe4 | Unspecified | Asserted
  99 | 04/28/2021 | 23:17:51 | OEM record c0 | 00cd3a | 0feb70230000
  9a | 04/28/2021 | 23:18:02 | System ACPI Power State #0x7a | S5/G2: soft-off | Asserted
  9b | 04/28/2021 | 23:18:02 | System ACPI Power State #0x8a | S5/G2: soft-off | Asserted
  9c | 04/28/2021 | 23:18:53 | System ACPI Power State #0x7a | S0/G0: working | Asserted
  9d | 04/28/2021 | 23:18:53 | System ACPI Power State #0x8a | S0/G0: working | Asserted
  9e | 04/28/2021 | 23:18:54 | OEM record c0 | 00cd3a | 0feb70020000
  9f | 04/28/2021 | 23:18:55 | OEM record c0 | 00cd3a | 0feb70120000
  a0 | 04/28/2021 | 23:19:26 | System ACPI Power State #0x7a | S5/G2: soft-off | Asserted
  a1 | 04/28/2021 | 23:19:26 | System ACPI Power State #0x8a | S5/G2: soft-off | Asserted
  a2 | 04/28/2021 | 23:21:38 | System ACPI Power State #0x7a | S0/G0: working | Asserted
  a3 | 04/28/2021 | 23:21:38 | System ACPI Power State #0x8a | S0/G0: working | Asserted
  a4 | 04/28/2021 | 23:21:39 | OEM record c0 | 00cd3a | 0feb70020000
  a5 | 04/28/2021 | 23:21:39 | OEM record c0 | 00cd3a | 0feb70120000
  a6 | 04/28/2021 | 23:24:22 | System Firmwares #0xe4 | Unspecified | Asserted
  a7 | 04/28/2021 | 23:24:22 | OEM record c0 | 00cd3a | 0feb70230000
  a8 | 04/28/2021 | 23:24:32 | System ACPI Power State #0x7a | S5/G2: soft-off | Asserted
  a9 | 04/28/2021 | 23:24:32 | System ACPI Power State #0x8a | S5/G2: soft-off | Asserted
  aa | 04/28/2021 | 23:25:23 | System ACPI Power State #0x7a | S0/G0: working | Asserted
  ab | 04/28/2021 | 23:25:23 | System ACPI Power State #0x8a | S0/G0: working | Asserted
  ac | 04/28/2021 | 23:25:23 | OEM record c0 | 00cd3a | 0feb70020000
  ad | 04/28/2021 | 23:25:24 | OEM record c0 | 00cd3a | 0feb70120000
  ae | 04/28/2021 | 23:28:06 | System Firmwares #0xe4 | Unspecified | Asserted
  af | 04/28/2021 | 23:28:06 | OEM record c0 | 00cd3a | 0feb70230000
  b0 | 04/28/2021 | 23:28:17 | System ACPI Power State #0x7a | S5/G2: soft-off | Asserted
  b1 | 04/28/2021 | 23:28:17 | System ACPI Power State #0x8a | S5/G2: soft-off | Asserted
  b2 | 04/28/2021 | 23:29:06 | System ACPI Power State #0x7a | S0/G0: working | Asserted
  b3 | 04/28/2021 | 23:29:06 | System ACPI Power State #0x8a | S0/G0: working | Asserted
  b4 | 04/28/2021 | 23:29:06 | OEM record c0 | 00cd3a | 0feb70020000
  b5 | 04/28/2021 | 23:29:07 | OEM record c0 | 00cd3a | 0feb70120000
  b6 | 04/28/2021 | 23:31:48 | System Firmwares #0xe4 | Unspecified | Asserted
  b7 | 04/28/2021 | 23:31:48 | OEM record c0 | 00cd3a | 0feb70230000
  b8 | 04/29/2021 | 00:01:58 | System ACPI Power State #0x7a | S5/G2: soft-off | Asserted
  b9 | 04/29/2021 | 00:01:58 | System ACPI Power State #0x8a | S5/G2: soft-off | Asserted
  ba | 04/29/2021 | 00:03:57 | System ACPI Power State #0x7a | S0/G0: working | Asserted
  bb | 04/29/2021 | 00:03:57 | System ACPI Power State #0x8a | S0/G0: working | Asserted
  bc | 04/29/2021 | 00:03:57 | OEM record c0 | 00cd3a | 0feb70020000
  bd | 04/29/2021 | 00:03:58 | OEM record c0 | 00cd3a | 0feb70120000
  be | 04/29/2021 | 00:06:41 | System Firmwares #0xe4 | Unspecified | Asserted
  bf | 04/29/2021 | 00:06:41 | OEM record c0 | 00cd3a | 0feb70230000
  c0 | 04/29/2021 | 00:15:02 | System ACPI Power State #0x7a | S5/G2: soft-off | Asserted
  c1 | 04/29/2021 | 00:15:02 | System ACPI Power State #0x8a | S5/G2: soft-off | Asserted
  c2 | 04/29/2021 | 00:17:00 | System ACPI Power State #0x7a | S0/G0: working | Asserted
  c3 | 04/29/2021 | 00:17:00 | System ACPI Power State #0x8a | S0/G0: working | Asserted
  c4 | 04/29/2021 | 00:17:01 | OEM record c0 | 00cd3a | 0feb70020000
  c5 | 04/29/2021 | 00:17:01 | OEM record c0 | 00cd3a | 0feb70120000
  c6 | 04/29/2021 | 00:17:19 | OEM record c0 | 00cd3a | 0feb70220000
  c7 | 04/29/2021 | 00:17:20 | OEM record c0 | 00cd3a | 0feb70320000
  c8 | 04/29/2021 | 00:17:22 | OEM record c0 | 00cd3a | 0feb70520000
  c9 | 04/29/2021 | 00:17:23 | OEM record c0 | 00cd3a | 0feb70620000
  ca | 04/29/2021 | 00:17:31 | OEM record c0 | 00cd3a | ca8f7101ffff
  cb | 04/29/2021 | 00:17:32 | OEM record c0 | 00cd3a | ca8ff101ffff
  cc | 04/29/2021 | 00:17:50 | System Boot Initiated #0xdc | OS initiated hard reset | Asserted
  cd | 04/29/2021 | 00:17:50 | OEM record c0 | 00cd3a | 0feb70020000
  ce | 04/29/2021 | 00:17:52 | OEM record c0 | 00cd3a | 0feb70120000
  cf | 04/29/2021 | 00:18:10 | OEM record c0 | 00cd3a | 0feb70220000
  d0 | 04/29/2021 | 00:18:11 | OEM record c0 | 00cd3a | 0feb70320000
  d1 | 04/29/2021 | 00:18:13 | OEM record c0 | 00cd3a | 0feb70520000
  d2 | 04/29/2021 | 00:18:14 | OEM record c0 | 00cd3a | 0feb70620000
  d3 | 04/29/2021 | 00:18:51 | OEM record c0 | 00cd3a | 0feb70820000
  d4 | 04/29/2021 | 00:18:51 | System Firmwares #0xe4 | System boot initiated | Asserted
  d5 | 04/29/2021 | 00:59:27 | System Boot Initiated #0xdc | System Restart | Asserted
  d6 | 04/29/2021 | 00:59:28 | OEM record c0 | 00cd3a | 0feb70020000
  d7 | 04/29/2021 | 00:59:29 | OEM record c0 | 00cd3a | 0feb70120000
  d8 | 04/29/2021 | 00:59:47 | OEM record c0 | 00cd3a | 0feb70220000
  d9 | 04/29/2021 | 00:59:48 | OEM record c0 | 00cd3a | 0feb70320000
  da | 04/29/2021 | 00:59:50 | OEM record c0 | 00cd3a | 0feb70520000
  db | 04/29/2021 | 00:59:51 | OEM record c0 | 00cd3a | 0feb70620000
  dc | 04/29/2021 | 01:00:24 | OEM record c0 | 00cd3a | 0feb70820000
  dd | 04/29/2021 | 01:00:24 | System Firmwares #0xe4 | System boot initiated | Asserted
  de | 04/29/2021 | 03:35:16 | System ACPI Power State #0x7a | S5/G2: soft-off | Asserted
  df | 04/29/2021 | 03:35:16 | System ACPI Power State #0x8a | S5/G2: soft-off | Asserted
  e0 | 04/29/2021 | 03:37:55 | OEM record c0 | 00cd3a | ca8f7102ffff
  e1 | 04/29/2021 | 03:37:55 | OEM record c0 | 00cd3a | ca8f7114ffff
  e2 | 04/29/2021 | 03:37:56 | OEM record c0 | 00cd3a | ca8ff102ffff
  e3 | 04/29/2021 | 03:37:56 | OEM record c0 | 00cd3a | ca8ff114ffff
  e4 | 04/29/2021 | 03:38:00 | OEM record c0 | 040061 | cae36f00ffff
  e5 | 04/29/2021 | 03:38:00 | System ACPI Power State #0x7a | S0/G0: working | Asserted
  e6 | 04/29/2021 | 03:38:25 | OEM record c0 | 00cd3a | ca8f7102ffff
  e7 | 04/29/2021 | 03:38:25 | OEM record c0 | 00cd3a | ca8f7114ffff
  e8 | 04/29/2021 | 03:38:26 | OEM record c0 | 00cd3a | ca8ff102ffff
  e9 | 04/29/2021 | 03:38:26 | OEM record c0 | 00cd3a | ca8ff114ffff
  ea | 04/29/2021 | 03:38:31 | OEM record c0 | 040061 | cae36f00ffff
  eb | 04/29/2021 | 03:38:31 | System Boot Initiated #0xdc | OS initiated hard reset | Asserted
  ec | 04/29/2021 | 03:38:31 | OEM record c0 | 00cd3a | 0feb70020000
  ed | 04/29/2021 | 03:38:32 | OEM record c0 | 00cd3a | 0feb70120000
  ee | 04/29/2021 | 03:38:35 | Voltage #0x58 | Lower Non-recoverable going low  | Asserted
  ef | 04/29/2021 | 03:38:35 | Voltage #0x63 | Lower Non-recoverable going low  | Asserted
  f0 | 04/29/2021 | 03:38:44 | OEM record c0 | 00cd3a | 0feb70220000
  f1 | 04/29/2021 | 03:38:44 | OEM record c0 | 00cd3a | 0feb70320000
  f2 | 04/29/2021 | 03:38:46 | OEM record c0 | 00cd3a | 0feb70520000
  f3 | 04/29/2021 | 03:38:47 | OEM record c0 | 00cd3a | 0feb70620000
  f4 | 04/29/2021 | 03:39:27 | OEM record c0 | 00cd3a | 0feb70820000
  f5 | 04/29/2021 | 03:39:27 | System Firmwares #0xe4 | System boot initiated | Asserted
  f6 | 04/29/2021 | 03:40:38 | OEM record c0 | 00cd3a | ca8f7102ffff
  f7 | 04/29/2021 | 03:40:38 | OEM record c0 | 00cd3a | ca8f7114ffff
  f8 | 04/29/2021 | 03:40:39 | OEM record c0 | 00cd3a | ca8ff102ffff
  f9 | 04/29/2021 | 03:40:39 | OEM record c0 | 00cd3a | ca8ff114ffff
  fa | 04/29/2021 | 03:40:43 | OEM record c0 | 040061 | cae36f00ffff
  fb | 04/29/2021 | 03:40:43 | System Boot Initiated #0xdc | System Restart | Asserted
  fc | 04/29/2021 | 03:40:44 | OEM record c0 | 00cd3a | 0feb70020000
  fd | 04/29/2021 | 03:40:44 | OEM record c0 | 00cd3a | 0feb70120000
  fe | 04/29/2021 | 03:40:57 | OEM record c0 | 00cd3a | 0feb70220000
  ff | 04/29/2021 | 03:40:58 | OEM record c0 | 00cd3a | 0feb70320000
 100 | 04/29/2021 | 03:40:59 | OEM record c0 | 00cd3a | 0feb70520000
 101 | 04/29/2021 | 03:41:00 | OEM record c0 | 00cd3a | 0feb70620000
 102 | 04/29/2021 | 03:41:40 | OEM record c0 | 00cd3a | 0feb70820000
 103 | 04/29/2021 | 03:41:40 | System Firmwares #0xe4 | System boot initiated | Asserted
 104 | 04/29/2021 | 04:05:25 | System ACPI Power State #0x7a | S5/G2: soft-off | Asserted
 105 | 04/29/2021 | 04:05:25 | System ACPI Power State #0x8a | S5/G2: soft-off | Asserted
 106 | 04/29/2021 | 23:27:42 | System ACPI Power State #0x7a | S0/G0: working | Asserted
 107 | 04/29/2021 | 23:27:42 | System ACPI Power State #0x8a | S0/G0: working | Asserted
 108 | 04/29/2021 | 23:27:43 | OEM record c0 | 00cd3a | 0feb70020000
 109 | 04/29/2021 | 23:27:43 | OEM record c0 | 00cd3a | 0feb70120000
 10a | 04/29/2021 | 23:28:02 | OEM record c0 | 00cd3a | 0feb70220000
 10b | 04/29/2021 | 23:28:03 | OEM record c0 | 00cd3a | 0feb70320000
 10c | 04/29/2021 | 23:28:05 | OEM record c0 | 00cd3a | 0feb70520000
 10d | 04/29/2021 | 23:28:06 | OEM record c0 | 00cd3a | 0feb70620000
 10e | 04/29/2021 | 23:28:50 | OEM record c0 | 00cd3a | 0feb70820000
 10f | 04/29/2021 | 23:28:50 | System Firmwares #0xe4 | System boot initiated | Asserted
 110 | 04/29/2021 | 23:29:29 | Voltage #0x58 | Lower Non-recoverable going low  | Deasserted
 111 | 04/29/2021 | 23:29:29 | Voltage #0x63 | Lower Non-recoverable going low  | Deasserted
 112 | 04/29/2021 | 23:49:34 | System Boot Initiated #0xdc | System Restart | Asserted
 113 | 04/29/2021 | 23:49:35 | OEM record c0 | 00cd3a | 0feb70020000
 114 | 04/29/2021 | 23:49:36 | OEM record c0 | 00cd3a | 0feb70120000
 115 | 04/29/2021 | 23:49:55 | OEM record c0 | 00cd3a | 0feb70220000
 116 | 04/29/2021 | 23:49:56 | OEM record c0 | 00cd3a | 0feb70320000
 117 | 04/29/2021 | 23:49:58 | OEM record c0 | 00cd3a | 0feb70520000
 118 | 04/29/2021 | 23:49:59 | OEM record c0 | 00cd3a | 0feb70620000
 119 | 04/29/2021 | 23:50:31 | OEM record c0 | 00cd3a | 0feb70820000
 11a | 04/29/2021 | 23:50:31 | System Firmwares #0xe4 | System boot initiated | Asserted
 11b | 04/30/2021 | 00:19:05 | System Boot Initiated #0xdc | OS initiated hard reset | Asserted
 11c | 04/30/2021 | 00:19:06 | OEM record c0 | 00cd3a | 0feb70020000
 11d | 04/30/2021 | 00:19:07 | OEM record c0 | 00cd3a | 0feb70120000
 11e | 04/30/2021 | 00:19:25 | OEM record c0 | 00cd3a | 0feb70220000
 11f | 04/30/2021 | 00:19:26 | OEM record c0 | 00cd3a | 0feb70320000
 120 | 04/30/2021 | 00:19:28 | OEM record c0 | 00cd3a | 0feb70520000
 121 | 04/30/2021 | 00:19:29 | OEM record c0 | 00cd3a | 0feb70620000
 122 | 04/30/2021 | 00:20:12 | OEM record c0 | 00cd3a | 0feb70820000
 123 | 04/30/2021 | 00:20:12 | System Firmwares #0xe4 | System boot initiated | Asserted
 124 | 04/30/2021 | 00:22:45 | System ACPI Power State #0x7a | S5/G2: soft-off | Asserted
 125 | 04/30/2021 | 00:22:45 | System ACPI Power State #0x8a | S5/G2: soft-off | Asserted
