Host 10.38.14.243 not found in /home/amcclab/.ssh/known_hosts
search_board_type Mt.Jade
./sshpass -p amcc1234 ssh -o StrictHostKeyChecking=no -t amcclab@10.38.175.31 'ipmitool -H 10.38.14.243 -U ADMIN -P ADMIN -I lanplus -z 0x7fff  sensor list all'
Pseudo-terminal will not be allocated because stdin is not a terminal.
Setting large buffer to 32767
Event_log        | 0x0        | discrete   | 0x1080| na        | na        | na        | na        | na        | na        
S1_Core_VRD_Temp | na         | degrees C  | na    | na        | na        | na        | na        | 105.000   | na        
S1_DIMM_VR2_Pwr  | na         | Watts      | na    | na        | na        | na        | na        | 79.950    | na        
S1_DIMM_DDR_Volt | na         | Volts      | na    | na        | na        | na        | na        | na        | na        
S1_MEM_Pwr       | na         | Watts      | na    | na        | na        | na        | na        | na        | na        
S1_DIMM_VR1_Pwr  | na         | Watts      | na    | na        | na        | na        | na        | 79.950    | na        
S1_SoC_Error     | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
S1_SOC_VRD_Temp  | na         | degrees C  | na    | na        | na        | na        | na        | 105.000   | na        
S1_DIMM_VR1_Volt | na         | Volts      | na    | 1.141     | na        | na        | na        | 1.260     | na        
S1_DIMM_VR2_Volt | na         | Volts      | na    | 1.141     | na        | na        | na        | 1.260     | na        
S1_SOC_Temp      | na         | degrees C  | na    | na        | na        | na        | na        | 105.000   | na        
S1_PCIE_Status   | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
S1_CPU_Pwr       | na         | Watts      | na    | na        | na        | na        | na        | 500.000   | na        
S1_CPU_VCORE     | na         | Volts      | na    | 0.720     | na        | na        | na        | 1.120     | na        
S1_Memory_Status | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
S1_DIMMG0_Temp   | na         | degrees C  | na    | na        | na        | na        | na        | 85.000    | na        
S1_CPU_PROC_HOT  | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
FAN4_1_Failure   | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
FAN4_1_Presence  | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
FAN4_1_Speed     | na         | RPM        | na    | 500.000   | na        | na        | na        | na        | 23100.000 
ChassisIntrusion | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na        
S0_CPU_Status    | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
S1_CPU_Status    | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
FAN3_2_Failure   | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
FAN3_2_Speed     | na         | RPM        | na    | 500.000   | na        | na        | na        | na        | 23100.000 
FAN3_2_Presence  | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
FAN4_2_Failure   | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
FAN4_2_Speed     | na         | RPM        | na    | 500.000   | na        | na        | na        | na        | 23100.000 
FAN4_2_Presence  | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
FAN7_1_Failure   | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
FAN6_2_Failure   | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
FAN6_2_Speed     | na         | RPM        | na    | 500.000   | na        | na        | na        | na        | 23100.000 
FAN5_2_Failure   | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
FAN6_1_Presence  | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
FAN5_1_Failure   | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
FAN8_2_Speed     | na         | RPM        | na    | 500.000   | na        | na        | na        | na        | 23100.000 
FAN6_2_Presence  | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
FAN5_2_Presence  | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
FAN5_1_Speed     | na         | RPM        | na    | 500.000   | na        | na        | na        | na        | 23100.000 
FAN8_1_Speed     | na         | RPM        | na    | 500.000   | na        | na        | na        | na        | 23100.000 
FAN6_1_Failure   | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
FAN7_2_Speed     | na         | RPM        | na    | 500.000   | na        | na        | na        | na        | 23100.000 
FAN8_1_Failure   | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
FAN7_2_Failure   | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
FAN5_2_Speed     | na         | RPM        | na    | 500.000   | na        | na        | na        | na        | 23100.000 
FAN7_1_Presence  | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
FAN5_1_Presence  | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
FAN8_1_Presence  | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
FAN7_2_Presence  | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
FAN7_1_Speed     | na         | RPM        | na    | 500.000   | na        | na        | na        | na        | 23100.000 
FAN8_2_Presence  | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
FAN8_2_Failure   | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
FAN6_1_Speed     | na         | RPM        | na    | 500.000   | na        | na        | na        | na        | 23100.000 
PSU1_POUT        | 192.000    | Watts      | ok    | na        | na        | na        | na        | na        | na        
PSU1_TEMP        | 38.000     | degrees C  | ok    | na        | na        | na        | na        | 64.000    | na        
PSU1_FAN_SPEED   | 3200.000   | RPM        | ok    | na        | na        | na        | na        | 20300.000 | na        
PSU2_FAN_SPEED   | na         | RPM        | na    | na        | na        | na        | na        | 20300.000 | na        
PSU2_TEMP        | na         | degrees C  | na    | na        | na        | na        | na        | 64.000    | na        
PSU2_POUT        | na         | Watts      | na    | na        | na        | na        | na        | na        | na        
Total_Power      | na         | Watts      | na    | na        | na        | na        | na        | na        | na        
S1_RCA_VR_Pwr    | na         | Watts      | na    | na        | na        | na        | na        | na        | na        
S1_RCA_VR_Temp   | na         | degrees C  | na    | na        | na        | na        | na        | na        | na        
S1_RCA_VR_Volt   | na         | Volts      | na    | na        | na        | na        | na        | na        | na        
S0_RCA_VR_Volt   | na         | Volts      | na    | na        | na        | na        | na        | na        | na        
S0_RCA_VR_Pwr    | na         | Watts      | na    | na        | na        | na        | na        | na        | na        
S0_RCA_VR_Temp   | na         | degrees C  | na    | na        | na        | na        | na        | na        | na        
S1_SOC_TDP       | na         | Watts      | na    | na        | na        | na        | na        | na        | na        
S0_SOC_TDP       | na         | Watts      | na    | na        | na        | na        | na        | na        | na        
S0_SOC_Volt      | na         | Volts      | na    | 0.560     | na        | na        | na        | 0.960     | na        
S1_SOC_Volt      | na         | Volts      | na    | 0.560     | na        | na        | na        | 0.960     | na        
S0_DIMM_VR1_Curr | na         | Amps       | na    | na        | na        | na        | na        | na        | na        
S1_Core_VRD_Curr | na         | Amps       | na    | na        | na        | na        | na        | na        | na        
S1_DIMM_VR1_Curr | na         | Amps       | na    | na        | na        | na        | na        | na        | na        
S1_SOC_VRD_Curr  | na         | Amps       | na    | na        | na        | na        | na        | na        | na        
S1_DIMM_VR2_Curr | na         | Amps       | na    | na        | na        | na        | na        | na        | na        
S0_RCA_VRD_Curr  | 0.000      | Amps       | ok    | na        | na        | na        | na        | na        | na        
S0_DIMM_VR2_Curr | 0.000      | Amps       | ok    | na        | na        | na        | na        | na        | na        
S0_Core_VRD_Curr | 20.000     | Amps       | ok    | na        | na        | na        | na        | na        | na        
S0_SOC_VRD_Curr  | 2.000      | Amps       | ok    | na        | na        | na        | na        | na        | na        
S1_RCA_VRD_Curr  | na         | Amps       | na    | na        | na        | na        | na        | na        | na        
NVMeBP_MaxTemp   | 0.000      | degrees C  | ok    | na        | na        | na        | na        | na        | na        
OCP_Temp         | na         | degrees C  | na    | na        | na        | na        | na        | na        | na        
NVMeM2_MaxTemp   | 0.000      | degrees C  | ok    | na        | na        | na        | na        | na        | na        
S0_DIMM_HOT      | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na        
S1_DIMM_HOT      | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
S0_VR_ErrStatus  | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na        
S1_VR_ErrStatus  | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
S0_Refresh_Rate  | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na        
S1_Refresh_Rate  | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
[1039315.803791] ttyUSB4' AD0JU57O
[804974.374740] ttyUSB12' FTBZ7CEX
[796927.482771] ttyUSB13' AD0JUNRA
[783273.747501] ttyUSB10' AH072U9K
[783269.079716] ttyUSB1' AB0JI8KO
[783264.595438] ttyUSB0' AB0KUEM7
[435055.522872] ttyUSB6' AD0K9J3A
[280929.159767] ttyUSB14' FTEZFHVX
[   16.121466] ttyUSB11' AC019YQ9
[   16.118965] ttyUSB9' FTEZFKX8
[   16.117715] ttyUSB8' AC01X49Y
[   16.116480] ttyUSB7' AC01X41Z
[   16.113971] ttyUSB5' AB0JI8KK
[   16.111359] ttyUSB3' AM00F4ES
[   16.110036] ttyUSB2' AC019YQKHost 10.38.14.243 not found in /home/amcclab/.ssh/known_hosts
search_board_type Mt.Jade
./sshpass -p amcc1234 ssh -o StrictHostKeyChecking=no -t amcclab@10.38.175.31 'ipmitool -H 10.38.14.243 -U ADMIN -P ADMIN -I lanplus -z 0x7fff  sensor list all'
Pseudo-terminal will not be allocated because stdin is not a terminal.
Setting large buffer to 32767
Event_log        | 0x0        | discrete   | 0x1080| na        | na        | na        | na        | na        | na        
FAN3_1_Speed     | 0.000      | RPM        | nr    | 500.000   | na        | na        | na        | na        | 23100.000 
FAN3_1_Failure   | 0x0        | discrete   | 0x0280| na        | na        | na        | na        | na        | na        
FAN3_1_Presence  | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
TS1_Temp         | 37.000     | degrees C  | ok    | na        | na        | na        | na        | 50.000    | na        
TS2_Temp         | 38.000     | degrees C  | ok    | na        | na        | na        | na        | 50.000    | na        
TS4_Temp         | 34.000     | degrees C  | ok    | na        | na        | na        | na        | 50.000    | na        
TS3_Temp         | 37.000     | degrees C  | ok    | na        | na        | na        | na        | 50.000    | na        
TS6_Temp         | 34.000     | degrees C  | ok    | na        | na        | na        | na        | 50.000    | na        
TS5_Temp         | 39.000     | degrees C  | ok    | na        | na        | na        | na        | 50.000    | na        
S0_SOC_Temp      | 42.000     | degrees C  | ok    | na        | na        | na        | na        | 105.000   | na        
S0_SOC_VRD_Temp  | 35.000     | degrees C  | ok    | na        | na        | na        | na        | 105.000   | na        
S0_DIMM_VRD_Temp | 39.000     | degrees C  | ok    | na        | na        | na        | na        | 105.000   | na        
S0_Core_VRD_Temp | 38.000     | degrees C  | ok    | na        | na        | na        | na        | 105.000   | na        
S0_DIMMG0_Temp   | 38.000     | degrees C  | ok    | na        | na        | na        | na        | 85.000    | na        
S0_CPU_Pwr       | 22.000     | Watts      | ok    | na        | na        | na        | na        | 500.000   | na        
S0_MEM_Pwr       | 0.000      | Watts      | ok    | na        | na        | na        | na        | na        | na        
Watchdog2        | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na        
S0_CPU_VCORE     | 1.000      | Volts      | ok    | 0.720     | na        | na        | na        | 1.120     | na        
S0_DIMM_VR1_Volt | 1.197      | Volts      | ok    | 1.141     | na        | na        | na        | 1.260     | na        
S0_DIMM_VR2_Volt | 1.197      | Volts      | ok    | 1.141     | na        | na        | na        | 1.260     | na        
S0_DIMM_DDR_Volt | 1.197      | Volts      | ok    | na        | na        | na        | na        | na        | na        
S0_CPU_PROC_HOT  | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na        
S0_Memory_Status | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na        
S0_ACPI_State    | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
S0_0V8_VDDC_SOC  | 0.755      | Volts      | ok    | 0.560     | na        | na        | na        | 0.960     | na        
S0_0V75_PCP      | 1.001      | Volts      | ok    | 0.504     | na        | na        | na        | 1.323     | na        
S0_1V2_VDDQ0123  | 1.197      | Volts      | ok    | 0.840     | na        | na        | na        | 1.442     | na        
S0_0V6_VTT0123   | 0.596      | Volts      | ok    | 0.420     | na        | na        | na        | 0.720     | na        
S0_2V5_VPP0123   | 2.490      | Volts      | ok    | 1.755     | na        | na        | na        | 3.000     | na        
S0_1V2_VDDQ4567  | 1.197      | Volts      | ok    | 0.840     | na        | na        | na        | 1.442     | na        
S0_0V6_VTT4567   | 0.596      | Volts      | ok    | 0.420     | na        | na        | na        | 0.720     | na        
S0_2V5_VPP4567   | 2.475      | Volts      | ok    | 1.755     | na        | na        | na        | 3.000     | na        
S0_0V85_RCA      | 0.900      | Volts      | ok    | 0.630     | na        | na        | na        | 1.080     | na        
S0_1V8_VDDH      | 1.771      | Volts      | ok    | 1.265     | na        | na        | na        | 2.156     | na        
S0_1V5_VDDH      | 1.494      | Volts      | ok    | 1.053     | na        | na        | na        | 1.800     | na        
S0_1V8_SOC       | 1.749      | Volts      | ok    | 1.265     | na        | na        | na        | 2.156     | na        
S0_1V8_PCP       | 1.782      | Volts      | ok    | 1.265     | na        | na        | na        | 2.156     | na        
S0_3V3_SOC       | 3.280      | Volts      | ok    | 2.320     | na        | na        | na        | 3.960     | na        
Sys_Boot_Restart | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na        
S0_DIMM_VR1_Pwr  | 0.000      | Watts      | ok    | na        | na        | na        | na        | 79.950    | na        
S0_DIMM_VR2_Pwr  | 0.000      | Watts      | ok    | na        | na        | na        | na        | 79.950    | na        
S0_SoC_Error     | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na        
S0_PCIE_Status   | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na        
S1_0V8_VDDC_SOC  | 0.000      | Volts      | nr    | 0.560     | na        | na        | na        | 0.960     | na        
S1_0V75_PCP      | 0.000      | Volts      | nr    | 0.504     | na        | na        | na        | 1.323     | na        
S1_1V2_VDDQ0123  | 0.000      | Volts      | nr    | 0.840     | na        | na        | na        | 1.442     | na        
S1_0V6_VTT0123   | 0.000      | Volts      | nr    | 0.420     | na        | na        | na        | 0.720     | na        
S1_2V5_VPP0123   | 0.000      | Volts      | nr    | 1.755     | na        | na        | na        | 3.000     | na        
S1_1V2_VDDQ4567  | 0.000      | Volts      | nr    | 0.840     | na        | na        | na        | 1.442     | na        
S1_0V6_VTT4567   | 0.000      | Volts      | nr    | 0.420     | na        | na        | na        | 0.720     | na        
S1_2V5_VPP4567   | 0.000      | Volts      | nr    | 1.755     | na        | na        | na        | 3.000     | na        
S1_0V85_RCA      | 0.000      | Volts      | nr    | 0.630     | na        | na        | na        | 1.080     | na        
S1_1V8_VDDH      | 0.000      | Volts      | nr    | 1.265     | na        | na        | na        | 2.156     | na        
S1_1V5_VDDH      | 0.000      | Volts      | nr    | 1.053     | na        | na        | na        | 1.800     | na        
S1_1V8_SOC       | 0.000      | Volts      | nr    | 1.265     | na        | na        | na        | 2.156     | na        
S1_1V8_PCP       | 0.000      | Volts      | nr    | 1.265     | na        | na        | na        | 2.156     | na        
S1_3V3_SOC       | 0.000      | Volts      | nr    | 2.320     | na        | na        | na        | 3.960     | na        
3V3_SB           | 3.280      | Volts      | ok    | 2.320     | na        | na        | na        | 3.960     | na        
VBAT_RTC         | 2.790      | Volts      | ok    | 2.106     | na        | na        | na        | 3.564     | na        
S1_ACPI_State    | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
S1_DIMM_VRD_Temp | na         | degrees C  | na    | na        | na        | na        | na        | 105.000   | na        
S1_Core_VRD_Temp | na         | degrees C  | na    | na        | na        | na        | na        | 105.000   | na        
S1_DIMM_VR2_Pwr  | na         | Watts      | na    | na        | na        | na        | na        | 79.950    | na        
S1_DIMM_DDR_Volt | na         | Volts      | na    | na        | na        | na        | na        | na        | na        
S1_MEM_Pwr       | na         | Watts      | na    | na        | na        | na        | na        | na        | na        
S1_DIMM_VR1_Pwr  | na         | Watts      | na    | na        | na        | na        | na        | 79.950    | na        
S1_SoC_Error     | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
S1_SOC_VRD_Temp  | na         | degrees C  | na    | na        | na        | na        | na        | 105.000   | na        
S1_DIMM_VR1_Volt | na         | Volts      | na    | 1.141     | na        | na        | na        | 1.260     | na        
S1_DIMM_VR2_Volt | na         | Volts      | na    | 1.141     | na        | na        | na        | 1.260     | na        
S1_SOC_Temp      | na         | degrees C  | na    | na        | na        | na        | na        | 105.000   | na        
S1_PCIE_Status   | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
S1_CPU_Pwr       | na         | Watts      | na    | na        | na        | na        | na        | 500.000   | na        
S1_CPU_VCORE     | na         | Volts      | na    | 0.720     | na        | na        | na        | 1.120     | na        
S1_Memory_Status | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
S1_DIMMG0_Temp   | na         | degrees C  | na    | na        | na        | na        | na        | 85.000    | na        
S1_CPU_PROC_HOT  | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na        
FAN4_1_Failure   | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na        
FAN4_1_Presence  | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
FAN4_1_Speed     | 14500.000  | RPM        | ok    | 500.000   | na        | na        | na        | na        | 23100.000 
ChassisIntrusion | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na        
S0_CPU_Status    | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na        
S1_CPU_Status    | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
FAN3_2_Failure   | 0x0        | discrete   | 0x0280| na        | na        | na        | na        | na        | na        
FAN3_2_Speed     | 0.000      | RPM        | nr    | 500.000   | na        | na        | na        | na        | 23100.000 
FAN3_2_Presence  | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
FAN4_2_Failure   | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na        
FAN4_2_Speed     | 14100.000  | RPM        | ok    | 500.000   | na        | na        | na        | na        | 23100.000 
FAN4_2_Presence  | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
FAN7_1_Failure   | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na        
FAN6_2_Failure   | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na        
FAN6_2_Speed     | 13800.000  | RPM        | ok    | 500.000   | na        | na        | na        | na        | 23100.000 
FAN5_2_Failure   | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na        
FAN6_1_Presence  | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
FAN5_1_Failure   | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na        
FAN8_2_Speed     | 13900.000  | RPM        | ok    | 500.000   | na        | na        | na        | na        | 23100.000 
FAN6_2_Presence  | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
FAN5_2_Presence  | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
FAN5_1_Speed     | 14800.000  | RPM        | ok    | 500.000   | na        | na        | na        | na        | 23100.000 
FAN8_1_Speed     | 15000.000  | RPM        | ok    | 500.000   | na        | na        | na        | na        | 23100.000 
FAN6_1_Failure   | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na        
FAN7_2_Speed     | 13700.000  | RPM        | ok    | 500.000   | na        | na        | na        | na        | 23100.000 
FAN8_1_Failure   | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na        
FAN7_2_Failure   | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na        
FAN5_2_Speed     | 13900.000  | RPM        | ok    | 500.000   | na        | na        | na        | na        | 23100.000 
FAN7_1_Presence  | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
FAN5_1_Presence  | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
FAN8_1_Presence  | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
FAN7_2_Presence  | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
FAN7_1_Speed     | 14900.000  | RPM        | ok    | 500.000   | na        | na        | na        | na        | 23100.000 
FAN8_2_Presence  | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
FAN8_2_Failure   | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na        
FAN6_1_Speed     | 15100.000  | RPM        | ok    | 500.000   | na        | na        | na        | na        | 23100.000 
PSU1_POUT        | 216.000    | Watts      | ok    | na        | na        | na        | na        | na        | na        
PSU1_TEMP        | 36.000     | degrees C  | ok    | na        | na        | na        | na        | 64.000    | na        
PSU1_FAN_SPEED   | 3200.000   | RPM        | ok    | na        | na        | na        | na        | 20300.000 | na        
PSU2_FAN_SPEED   | na         | RPM        | na    | na        | na        | na        | na        | 20300.000 | na        
PSU2_TEMP        | na         | degrees C  | na    | na        | na        | na        | na        | 64.000    | na        
PSU2_POUT        | na         | Watts      | na    | na        | na        | na        | na        | na        | na        
Total_Power      | na         | Watts      | na    | na        | na        | na        | na        | na        | na        
S1_RCA_VR_Pwr    | na         | Watts      | na    | na        | na        | na        | na        | na        | na        
S1_RCA_VR_Temp   | na         | degrees C  | na    | na        | na        | na        | na        | na        | na        
S1_RCA_VR_Volt   | na         | Volts      | na    | na        | na        | na        | na        | na        | na        
S0_RCA_VR_Volt   | 0.896      | Volts      | ok    | na        | na        | na        | na        | na        | na        
S0_RCA_VR_Pwr    | na         | Watts      | na    | na        | na        | na        | na        | na        | na        
S0_RCA_VR_Temp   | 36.000     | degrees C  | ok    | na        | na        | na        | na        | na        | na        
S1_SOC_TDP       | na         | Watts      | na    | na        | na        | na        | na        | na        | na        
