search_board_type Mt.Jade
Pseudo-terminal will not be allocated because stdin is not a terminal.
   1 | 04/15/2021 | 22:57:51 | System ACPI Power State #0x7a | S5/G2: soft-off | Asserted
  1b | 04/15/2021 | 23:08:22 | OEM record c0 | 00cd3a | 0feb70020000
  1c | 04/15/2021 | 23:08:23 | OEM record c0 | 00cd3a | 0feb70120000
  1d | 04/15/2021 | 23:08:56 | OEM record c0 | 00cd3a | 0feb70220000
  1e | 04/15/2021 | 23:08:57 | OEM record c0 | 00cd3a | 0feb70320000
  1f | 04/15/2021 | 23:08:59 | OEM record c0 | 00cd3a | 0feb70520000
  20 | 04/15/2021 | 23:09:00 | OEM record c0 | 00cd3a | 0feb70620000
  21 | 04/15/2021 | 23:09:21 | OEM record c0 | 00cd3a | 0feb70820000
  22 | 04/15/2021 | 23:09:21 | System Firmwares #0xe4 | System boot initiated | Asserted
  23 | 04/16/2021 | 01:48:06 | System ACPI Power State #0x7a | S5/G2: soft-off | Asserted
  24 | 04/16/2021 | 01:48:06 | System ACPI Power State #0x8a | S5/G2: soft-off | Asserted
  25 | 04/16/2021 | 01:51:13 | OEM record c0 | 00cd3a | ca907105ffff
  26 | 04/16/2021 | 01:51:14 | System ACPI Power State #0x7a | S0/G0: working | Asserted
  27 | 04/16/2021 | 01:51:16 | OEM record c0 | 00cd3a | 0feb70020000
  28 | 04/16/2021 | 01:51:16 | System ACPI Power State #0x8a | S0/G0: working | Asserted
  29 | 04/16/2021 | 01:51:16 | OEM record c0 | 00cd3a | ca8f7101ffff
  2a | 04/16/2021 | 01:51:16 | OEM record c0 | 00cd3a | ca90f105ffff
  2b | 04/16/2021 | 01:51:16 | OEM record c0 | 00cd3a | 0feb70120000
  2c | 04/16/2021 | 01:51:16 | OEM record c0 | 00cd3a | ca8ff101ffff
  2d | 04/16/2021 | 01:51:59 | OEM record c0 | 00cd3a | 0feb70220000
  2e | 04/16/2021 | 01:51:59 | OEM record c0 | 00cd3a | 0feb703bff10
  2f | 04/16/2021 | 01:52:00 | OEM record c0 | 00cd3a | 0feb70320000
  30 | 04/16/2021 | 01:52:02 | OEM record c0 | 00cd3a | 0feb70520000
  31 | 04/16/2021 | 01:52:03 | OEM record c0 | 00cd3a | 0feb70620000
  32 | 04/16/2021 | 01:52:32 | OEM record c0 | 00cd3a | 0feb70820000
  33 | 04/16/2021 | 01:52:32 | System Firmwares #0xe4 | System boot initiated | Asserted
  34 | 04/16/2021 | 03:09:40 | System ACPI Power State #0x7a | S5/G2: soft-off | Asserted
  35 | 04/16/2021 | 03:09:40 | System ACPI Power State #0x8a | S5/G2: soft-off | Asserted
  36 | 04/16/2021 | 03:10:30 | OEM record c0 | 00cd3a | ca907105ffff
  37 | 04/16/2021 | 03:10:31 | System ACPI Power State #0x7a | S0/G0: working | Asserted
  38 | 04/16/2021 | 03:10:31 | System ACPI Power State #0x8a | S0/G0: working | Asserted
  39 | 04/16/2021 | 03:10:31 | OEM record c0 | 00cd3a | 0feb70020000
  3a | 04/16/2021 | 03:10:32 | OEM record c0 | 00cd3a | ca8f7101ffff
  3b | 04/16/2021 | 03:10:32 | OEM record c0 | 00cd3a | ca90f105ffff
  3c | 04/16/2021 | 03:10:32 | OEM record c0 | 00cd3a | 0feb70120000
  3d | 04/16/2021 | 03:10:32 | OEM record c0 | 00cd3a | ca8ff101ffff
  3e | 04/16/2021 | 03:11:16 | OEM record c0 | 00cd3a | 0feb70220000
  3f | 04/16/2021 | 03:11:16 | OEM record c0 | 00cd3a | 0feb703bff10
  40 | 04/16/2021 | 03:11:17 | OEM record c0 | 00cd3a | 0feb70320000
  41 | 04/16/2021 | 03:11:20 | OEM record c0 | 00cd3a | 0feb70520000
  42 | 04/16/2021 | 03:11:20 | OEM record c0 | 00cd3a | 0feb70620000
  43 | 04/16/2021 | 03:11:46 | OEM record c0 | 00cd3a | 0feb70820000
  44 | 04/16/2021 | 03:11:46 | System Firmwares #0xe4 | System boot initiated | Asserted
  45 | 04/16/2021 | 03:21:43 | Power Supply #0xf8 | AC lost or out-of-range | Asserted
  46 | 04/16/2021 | 03:21:43 | Power Unit #0xe8 | AC lost | Asserted
  47 | 04/16/2021 | 03:21:43 | Power Supply #0xf8 | AC lost or out-of-range | Deasserted
  48 | 04/16/2021 | 03:21:44 | Power Supply #0xf8 | Failure detected | Asserted
  49 | 04/16/2021 | 03:21:44 | Power Supply #0xf8 | AC lost or out-of-range | Asserted
  4a | 04/16/2021 | 03:09:24 | Power Supply #0xf7 | AC lost or out-of-range | Deasserted
  4b | 04/16/2021 | 03:09:24 | Power Unit #0xe8 | AC lost | Deasserted
  4c | 04/16/2021 | 03:09:44 | OEM record c0 | 00cd3a | ca907105ffff
  4d | 04/16/2021 | 03:09:44 | System ACPI Power State #0x7a | S0/G0: working | Asserted
  4e | 04/16/2021 | 03:09:44 | System ACPI Power State #0x8a | S0/G0: working | Asserted
  4f | 04/16/2021 | 03:09:45 | OEM record c0 | 00cd3a | 0feb70020000
  50 | 04/16/2021 | 03:09:45 | OEM record c0 | 00cd3a | ca8f7101ffff
  51 | 04/16/2021 | 03:09:45 | OEM record c0 | 00cd3a | ca90f105ffff
  52 | 04/16/2021 | 03:09:46 | OEM record c0 | 00cd3a | 0feb70120000
  53 | 04/16/2021 | 03:09:46 | OEM record c0 | 00cd3a | ca8ff101ffff
  54 | 04/16/2021 | 03:10:30 | OEM record c0 | 00cd3a | 0feb70220000
  55 | 04/16/2021 | 03:10:30 | OEM record c0 | 00cd3a | 0feb703bff10
  56 | 04/16/2021 | 03:10:31 | OEM record c0 | 00cd3a | 0feb70320000
  57 | 04/16/2021 | 03:10:33 | OEM record c0 | 00cd3a | 0feb70520000
  58 | 04/16/2021 | 03:10:34 | OEM record c0 | 00cd3a | 0feb70620000
  59 | 04/16/2021 | 03:11:05 | OEM record c0 | 00cd3a | 0feb70820000
  5a | 04/16/2021 | 03:11:05 | System Firmwares #0xe4 | System boot initiated | Asserted
  5b | 04/16/2021 | 03:29:18 | System ACPI Power State #0x7a | S5/G2: soft-off | Asserted
  5c | 04/16/2021 | 03:29:18 | System ACPI Power State #0x8a | S5/G2: soft-off | Asserted
  5d | 04/16/2021 | 03:30:08 | OEM record c0 | 00cd3a | ca907105ffff
  5e | 04/16/2021 | 03:30:09 | System ACPI Power State #0x7a | S0/G0: working | Asserted
  5f | 04/16/2021 | 03:30:09 | System ACPI Power State #0x8a | S0/G0: working | Asserted
  60 | 04/16/2021 | 03:30:09 | OEM record c0 | 00cd3a | 0feb70020000
  61 | 04/16/2021 | 03:30:09 | OEM record c0 | 00cd3a | ca8f7101ffff
  62 | 04/16/2021 | 03:30:09 | OEM record c0 | 00cd3a | ca90f105ffff
  63 | 04/16/2021 | 03:30:10 | OEM record c0 | 00cd3a | 0feb70120000
  64 | 04/16/2021 | 03:30:10 | OEM record c0 | 00cd3a | ca8ff101ffff
  65 | 04/16/2021 | 03:30:54 | OEM record c0 | 00cd3a | 0feb70220000
  66 | 04/16/2021 | 03:30:54 | OEM record c0 | 00cd3a | 0feb703bff10
  67 | 04/16/2021 | 03:30:55 | OEM record c0 | 00cd3a | 0feb70320000
  68 | 04/16/2021 | 03:30:57 | OEM record c0 | 00cd3a | 0feb70520000
  69 | 04/16/2021 | 03:30:58 | OEM record c0 | 00cd3a | 0feb70620000
  6a | 04/16/2021 | 03:31:30 | OEM record c0 | 00cd3a | 0feb70820000
  6b | 04/16/2021 | 03:31:30 | System Firmwares #0xe4 | System boot initiated | Asserted
  6c | 04/16/2021 | 03:32:00 | OEM record c0 | 00cd3a | ca907105ffff
  6d | 04/16/2021 | 03:32:00 | System Boot Initiated #0xdc | OS initiated hard reset | Asserted
  6e | 04/16/2021 | 03:32:01 | OEM record c0 | 00cd3a | 0feb70020000
  6f | 04/16/2021 | 03:32:01 | OEM record c0 | 00cd3a | ca8f7101ffff
  70 | 04/16/2021 | 03:32:01 | OEM record c0 | 00cd3a | ca90f105ffff
  71 | 04/16/2021 | 03:32:02 | OEM record c0 | 00cd3a | 0feb70120000
  72 | 04/16/2021 | 03:32:02 | OEM record c0 | 00cd3a | ca8ff101ffff
  73 | 04/16/2021 | 03:32:46 | OEM record c0 | 00cd3a | 0feb70220000
  74 | 04/16/2021 | 03:32:46 | OEM record c0 | 00cd3a | 0feb703bff10
  75 | 04/16/2021 | 03:32:47 | OEM record c0 | 00cd3a | 0feb70320000
  76 | 04/16/2021 | 03:32:49 | OEM record c0 | 00cd3a | 0feb70520000
  77 | 04/16/2021 | 03:32:50 | OEM record c0 | 00cd3a | 0feb70620000
  78 | 04/16/2021 | 03:36:33 | System ACPI Power State #0x7a | S5/G2: soft-off | Asserted
  79 | 04/16/2021 | 03:36:33 | System ACPI Power State #0x8a | S5/G2: soft-off | Asserted
  7a | 04/16/2021 | 03:36:55 | OEM record c0 | 00cd3a | ca907105ffff
  7b | 04/16/2021 | 03:36:56 | System ACPI Power State #0x7a | S0/G0: working | Asserted
  7c | 04/16/2021 | 03:36:56 | System ACPI Power State #0x8a | S0/G0: working | Asserted
  7d | 04/16/2021 | 03:36:56 | OEM record c0 | 00cd3a | 0feb70020000
  7e | 04/16/2021 | 03:36:56 | OEM record c0 | 00cd3a | ca8f7101ffff
  7f | 04/16/2021 | 03:36:56 | OEM record c0 | 00cd3a | ca90f105ffff
  80 | 04/16/2021 | 03:36:57 | OEM record c0 | 00cd3a | 0feb70120000
  81 | 04/16/2021 | 03:36:57 | OEM record c0 | 00cd3a | ca8ff101ffff
  82 | 04/16/2021 | 03:37:41 | OEM record c0 | 00cd3a | 0feb70220000
  83 | 04/16/2021 | 03:37:41 | OEM record c0 | 00cd3a | 0feb703bff10
  84 | 04/16/2021 | 03:37:42 | OEM record c0 | 00cd3a | 0feb70320000
  85 | 04/16/2021 | 03:37:44 | OEM record c0 | 00cd3a | 0feb70520000
  86 | 04/16/2021 | 03:37:45 | OEM record c0 | 00cd3a | 0feb70620000
  87 | 04/16/2021 | 03:38:15 | OEM record c0 | 00cd3a | 0feb70820000
  88 | 04/16/2021 | 03:38:15 | System Firmwares #0xe4 | System boot initiated | Asserted
  89 | 04/16/2021 | 03:51:51 | System ACPI Power State #0x7a | S5/G2: soft-off | Asserted
  8a | 04/16/2021 | 03:51:51 | System ACPI Power State #0x8a | S5/G2: soft-off | Asserted
  8b | 04/16/2021 | 03:52:41 | OEM record c0 | 00cd3a | ca907105ffff
  8c | 04/16/2021 | 03:52:42 | System ACPI Power State #0x7a | S0/G0: working | Asserted
  8d | 04/16/2021 | 03:52:42 | System ACPI Power State #0x8a | S0/G0: working | Asserted
  8e | 04/16/2021 | 03:52:42 | OEM record c0 | 00cd3a | 0feb70020000
  8f | 04/16/2021 | 03:52:42 | OEM record c0 | 00cd3a | ca8f7101ffff
  90 | 04/16/2021 | 03:52:42 | OEM record c0 | 00cd3a | ca90f105ffff
  91 | 04/16/2021 | 03:52:43 | OEM record c0 | 00cd3a | 0feb70120000
  92 | 04/16/2021 | 03:52:43 | OEM record c0 | 00cd3a | ca8ff101ffff
  93 | 04/16/2021 | 03:53:27 | OEM record c0 | 00cd3a | 0feb70220000
  94 | 04/16/2021 | 03:53:27 | OEM record c0 | 00cd3a | 0feb703bff10
  95 | 04/16/2021 | 03:53:28 | OEM record c0 | 00cd3a | 0feb70320000
  96 | 04/16/2021 | 03:53:30 | OEM record c0 | 00cd3a | 0feb70520000
  97 | 04/16/2021 | 03:53:31 | OEM record c0 | 00cd3a | 0feb70620000
  98 | 04/16/2021 | 03:54:00 | OEM record c0 | 00cd3a | 0feb70820000
  99 | 04/16/2021 | 03:54:00 | System Firmwares #0xe4 | System boot initiated | Asserted
  9a | 04/16/2021 | 04:05:57 | System ACPI Power State #0x7a | S5/G2: soft-off | Asserted
  9b | 04/16/2021 | 04:05:57 | System ACPI Power State #0x8a | S5/G2: soft-off | Asserted
  9c | 04/16/2021 | 04:06:48 | System ACPI Power State #0x7a | S0/G0: working | Asserted
  9d | 04/16/2021 | 04:06:48 | System ACPI Power State #0x8a | S0/G0: working | Asserted
  9e | 04/16/2021 | 04:06:48 | OEM record c0 | 00cd3a | ca8f7101ffff
  9f | 04/16/2021 | 04:06:48 | OEM record c0 | 00cd3a | ca907105ffff
  a0 | 04/16/2021 | 04:06:49 | OEM record c0 | 00cd3a | 0feb70020000
  a1 | 04/16/2021 | 04:06:49 | OEM record c0 | 00cd3a | ca8ff101ffff
  a2 | 04/16/2021 | 04:06:49 | OEM record c0 | 00cd3a | ca90f105ffff
  a3 | 04/16/2021 | 04:06:50 | OEM record c0 | 00cd3a | 0feb70120000
  a4 | 04/16/2021 | 04:07:33 | OEM record c0 | 00cd3a | 0feb70220000
  a5 | 04/16/2021 | 04:07:33 | OEM record c0 | 00cd3a | 0feb703bff10
  a6 | 04/16/2021 | 04:07:34 | OEM record c0 | 00cd3a | 0feb70320000
  a7 | 04/16/2021 | 04:07:36 | OEM record c0 | 00cd3a | 0feb70520000
  a8 | 04/16/2021 | 04:07:37 | OEM record c0 | 00cd3a | 0feb70620000
  a9 | 04/16/2021 | 04:08:07 | OEM record c0 | 00cd3a | 0feb70820000
  aa | 04/16/2021 | 04:08:07 | System Firmwares #0xe4 | System boot initiated | Asserted
  ab | 04/16/2021 | 04:21:33 | System ACPI Power State #0x7a | S5/G2: soft-off | Asserted
  ac | 04/16/2021 | 04:21:33 | System ACPI Power State #0x8a | S5/G2: soft-off | Asserted
  ad | 04/16/2021 | 04:22:24 | System ACPI Power State #0x7a | S0/G0: working | Asserted
  ae | 04/16/2021 | 04:22:24 | System ACPI Power State #0x8a | S0/G0: working | Asserted
  af | 04/16/2021 | 04:22:24 | OEM record c0 | 00cd3a | ca8f7101ffff
  b0 | 04/16/2021 | 04:22:24 | OEM record c0 | 00cd3a | ca907105ffff
  b1 | 04/16/2021 | 04:22:25 | OEM record c0 | 00cd3a | 0feb70020000
  b2 | 04/16/2021 | 04:22:25 | OEM record c0 | 00cd3a | ca8ff101ffff
  b3 | 04/16/2021 | 04:22:25 | OEM record c0 | 00cd3a | ca90f105ffff
  b4 | 04/16/2021 | 04:22:26 | OEM record c0 | 00cd3a | 0feb70120000
  b5 | 04/16/2021 | 04:23:09 | OEM record c0 | 00cd3a | 0feb70220000
  b6 | 04/16/2021 | 04:23:09 | OEM record c0 | 00cd3a | 0feb703bff10
  b7 | 04/16/2021 | 04:23:10 | OEM record c0 | 00cd3a | 0feb70320000
  b8 | 04/16/2021 | 04:23:12 | OEM record c0 | 00cd3a | 0feb70520000
  b9 | 04/16/2021 | 04:23:13 | OEM record c0 | 00cd3a | 0feb70620000
  ba | 04/16/2021 | 04:23:43 | OEM record c0 | 00cd3a | 0feb70820000
  bb | 04/16/2021 | 04:23:43 | System Firmwares #0xe4 | System boot initiated | Asserted
  bc | 04/16/2021 | 04:31:16 | System ACPI Power State #0x7a | S5/G2: soft-off | Asserted
  bd | 04/16/2021 | 04:31:16 | System ACPI Power State #0x8a | S5/G2: soft-off | Asserted
  be | 04/16/2021 | 04:32:06 | OEM record c0 | 00cd3a | ca907105ffff
  bf | 04/16/2021 | 04:32:07 | System ACPI Power State #0x7a | S0/G0: working | Asserted
  c0 | 04/16/2021 | 04:32:07 | System ACPI Power State #0x8a | S0/G0: working | Asserted
  c1 | 04/16/2021 | 04:32:07 | OEM record c0 | 00cd3a | 0feb70020000
  c2 | 04/16/2021 | 04:32:07 | OEM record c0 | 00cd3a | ca8f7101ffff
  c3 | 04/16/2021 | 04:32:07 | OEM record c0 | 00cd3a | ca90f105ffff
  c4 | 04/16/2021 | 04:32:08 | OEM record c0 | 00cd3a | 0feb70120000
  c5 | 04/16/2021 | 04:32:08 | OEM record c0 | 00cd3a | ca8ff101ffff
  c6 | 04/16/2021 | 04:32:52 | OEM record c0 | 00cd3a | 0feb70220000
  c7 | 04/16/2021 | 04:32:52 | OEM record c0 | 00cd3a | 0feb703bff10
  c8 | 04/16/2021 | 04:32:53 | OEM record c0 | 00cd3a | 0feb70320000
  c9 | 04/16/2021 | 04:32:55 | OEM record c0 | 00cd3a | 0feb70520000
  ca | 04/16/2021 | 04:32:56 | OEM record c0 | 00cd3a | 0feb70620000
  cb | 04/16/2021 | 04:33:23 | OEM record c0 | 00cd3a | 0feb70820000
  cc | 04/16/2021 | 04:33:23 | System Firmwares #0xe4 | System boot initiated | Asserted
  cd | 04/16/2021 | 04:47:23 | System ACPI Power State #0x7a | S5/G2: soft-off | Asserted
  ce | 04/16/2021 | 04:47:23 | System ACPI Power State #0x8a | S5/G2: soft-off | Asserted
  cf | 04/16/2021 | 04:48:14 | OEM record c0 | 00cd3a | ca907105ffff
  d0 | 04/16/2021 | 04:48:15 | System ACPI Power State #0x7a | S0/G0: working | Asserted
  d1 | 04/16/2021 | 04:48:15 | System ACPI Power State #0x8a | S0/G0: working | Asserted
  d2 | 04/16/2021 | 04:48:15 | OEM record c0 | 00cd3a | 0feb70020000
  d3 | 04/16/2021 | 04:48:15 | OEM record c0 | 00cd3a | ca8f7101ffff
  d4 | 04/16/2021 | 04:48:15 | OEM record c0 | 00cd3a | ca90f105ffff
  d5 | 04/16/2021 | 04:48:16 | OEM record c0 | 00cd3a | 0feb70120000
  d6 | 04/16/2021 | 04:48:16 | OEM record c0 | 00cd3a | ca8ff101ffff
  d7 | 04/16/2021 | 04:49:00 | OEM record c0 | 00cd3a | 0feb70220000
  d8 | 04/16/2021 | 04:49:00 | OEM record c0 | 00cd3a | 0feb703bff10
  d9 | 04/16/2021 | 04:49:01 | OEM record c0 | 00cd3a | 0feb70320000
  da | 04/16/2021 | 04:49:03 | OEM record c0 | 00cd3a | 0feb70520000
  db | 04/16/2021 | 04:49:04 | OEM record c0 | 00cd3a | 0feb70620000
  dc | 04/16/2021 | 04:49:34 | OEM record c0 | 00cd3a | 0feb70820000
  dd | 04/16/2021 | 04:49:34 | System Firmwares #0xe4 | System boot initiated | Asserted
  de | 04/16/2021 | 05:02:11 | System ACPI Power State #0x7a | S5/G2: soft-off | Asserted
  df | 04/16/2021 | 05:02:11 | System ACPI Power State #0x8a | S5/G2: soft-off | Asserted
  e0 | 04/16/2021 | 05:03:01 | OEM record c0 | 00cd3a | ca907105ffff
  e1 | 04/16/2021 | 05:03:02 | System ACPI Power State #0x7a | S0/G0: working | Asserted
  e2 | 04/16/2021 | 05:03:02 | System ACPI Power State #0x8a | S0/G0: working | Asserted
  e3 | 04/16/2021 | 05:03:02 | OEM record c0 | 00cd3a | 0feb70020000
  e4 | 04/16/2021 | 05:03:02 | OEM record c0 | 00cd3a | ca8f7101ffff
  e5 | 04/16/2021 | 05:03:02 | OEM record c0 | 00cd3a | ca90f105ffff
  e6 | 04/16/2021 | 05:03:03 | OEM record c0 | 00cd3a | 0feb70120000
  e7 | 04/16/2021 | 05:03:03 | OEM record c0 | 00cd3a | ca8ff101ffff
  e8 | 04/16/2021 | 05:03:47 | OEM record c0 | 00cd3a | 0feb70220000
  e9 | 04/16/2021 | 05:03:47 | OEM record c0 | 00cd3a | 0feb703bff10
  ea | 04/16/2021 | 05:03:48 | OEM record c0 | 00cd3a | 0feb70320000
  eb | 04/16/2021 | 05:03:50 | OEM record c0 | 00cd3a | 0feb70520000
  ec | 04/16/2021 | 05:03:51 | OEM record c0 | 00cd3a | 0feb70620000
  ed | 04/16/2021 | 05:04:21 | OEM record c0 | 00cd3a | 0feb70820000
  ee | 04/16/2021 | 05:04:21 | System Firmwares #0xe4 | System boot initiated | Asserted
  ef | 04/16/2021 | 06:31:44 | Power Supply #0xf7 | AC lost or out-of-range | Asserted
  f0 | 04/16/2021 | 06:31:44 | Power Unit #0xe8 | AC lost | Asserted
  f1 | 04/16/2021 | 06:31:44 | Power Supply #0xf7 | AC lost or out-of-range | Deasserted
  f2 | 04/16/2021 | 06:31:44 | Power Supply #0xf7 | AC lost or out-of-range | Deasserted
  f3 | 04/16/2021 | 06:31:44 | Power Supply #0xf7 | AC lost or out-of-range | Deasserted
  f4 | 04/16/2021 | 06:31:44 | Power Supply #0xf7 | AC lost or out-of-range | Asserted
  f5 | 04/16/2021 | 06:31:44 | Power Unit #0xe8 | AC lost | Asserted
  f6 | 04/16/2021 | 06:31:45 | Power Supply #0xf7 | AC lost or out-of-range | Deasserted
  f7 | 04/16/2021 | 06:31:45 | Power Supply #0xf7 | AC lost or out-of-range | Asserted
  f8 | 04/16/2021 | 06:31:45 | Power Unit #0xe8 | AC lost | Asserted
  f9 | 04/16/2021 | 06:31:45 | Power Supply #0xf7 | AC lost or out-of-range | Deasserted
  fa | 04/16/2021 | 06:31:45 | Power Supply #0xf7 | AC lost or out-of-range | Asserted
  fb | 04/16/2021 | 06:31:45 | Power Unit #0xe8 | AC lost | Asserted
  fc | 04/16/2021 | 06:31:45 | Power Supply #0xf7 | AC lost or out-of-range | Deasserted
  fd | 04/16/2021 | 06:31:45 | Power Supply #0xf7 | Failure detected | Asserted
  fe | 04/16/2021 | 06:31:48 | Power Supply #0xf7 | AC lost or out-of-range | Asserted
  ff | 04/16/2021 | 06:31:48 | Power Unit #0xe8 | AC lost | Asserted
 100 | 04/16/2021 | 06:16:23 | Power Supply #0xf7 | AC lost or out-of-range | Deasserted
 101 | 04/16/2021 | 06:16:23 | Power Unit #0xe8 | AC lost | Deasserted
 102 | 04/16/2021 | 06:16:42 | OEM record c0 | 00cd3a | ca907105ffff
 103 | 04/16/2021 | 06:16:43 | System ACPI Power State #0x7a | S0/G0: working | Asserted
 104 | 04/16/2021 | 06:16:43 | System ACPI Power State #0x8a | S0/G0: working | Asserted
 105 | 04/16/2021 | 06:16:43 | OEM record c0 | 00cd3a | 0feb70020000
 106 | 04/16/2021 | 06:16:43 | OEM record c0 | 00cd3a | ca8f7101ffff
 107 | 04/16/2021 | 06:16:43 | OEM record c0 | 00cd3a | ca90f105ffff
 108 | 04/16/2021 | 06:16:44 | OEM record c0 | 00cd3a | 0feb70120000
 109 | 04/16/2021 | 06:16:44 | OEM record c0 | 00cd3a | ca8ff101ffff
 10a | 04/16/2021 | 06:17:28 | OEM record c0 | 00cd3a | 0feb70220000
 10b | 04/16/2021 | 06:17:29 | OEM record c0 | 00cd3a | 0feb703bff10
 10c | 04/16/2021 | 06:17:29 | OEM record c0 | 00cd3a | 0feb70320000
 10d | 04/16/2021 | 06:17:31 | OEM record c0 | 00cd3a | 0feb70520000
 10e | 04/16/2021 | 06:17:32 | OEM record c0 | 00cd3a | 0feb70620000
 10f | 04/16/2021 | 06:18:03 | OEM record c0 | 00cd3a | 0feb70820000
 110 | 04/16/2021 | 06:18:03 | System Firmwares #0xe4 | System boot initiated | Asserted
 111 | 04/16/2021 | 07:06:36 | System ACPI Power State #0x7a | S5/G2: soft-off | Asserted
 112 | 04/16/2021 | 07:06:36 | System ACPI Power State #0x8a | S5/G2: soft-off | Asserted
 113 | 04/16/2021 | 07:09:00 | OEM record c0 | 00cd3a | ca907105ffff
 114 | 04/16/2021 | 07:09:00 | System ACPI Power State #0x7a | S0/G0: working | Asserted
 115 | 04/16/2021 | 07:09:00 | System ACPI Power State #0x8a | S0/G0: working | Asserted
 116 | 04/16/2021 | 07:09:01 | OEM record c0 | 00cd3a | 0feb70020000
 117 | 04/16/2021 | 07:09:01 | OEM record c0 | 00cd3a | ca8f7101ffff
 118 | 04/16/2021 | 07:09:01 | OEM record c0 | 00cd3a | ca90f105ffff
 119 | 04/16/2021 | 07:09:02 | OEM record c0 | 00cd3a | 0feb70120000
 11a | 04/16/2021 | 07:09:02 | OEM record c0 | 00cd3a | ca8ff101ffff
 11b | 04/16/2021 | 07:09:02 | System ACPI Power State #0x7a | S5/G2: soft-off | Asserted
 11c | 04/16/2021 | 07:09:02 | System ACPI Power State #0x8a | S5/G2: soft-off | Asserted
 11d | 04/16/2021 | 07:09:03 | Power Unit #0xe8 | Soft-power control failure | Asserted
 11e | 04/16/2021 | 07:09:22 | OEM record c0 | 00cd3a | ca907105ffff
 11f | 04/16/2021 | 07:09:23 | OEM record c0 | 00cd3a | 0feb70020000
 120 | 04/16/2021 | 07:09:23 | OEM record c0 | 00cd3a | ca8f7101ffff
 121 | 04/16/2021 | 07:09:23 | OEM record c0 | 00cd3a | ca90f105ffff
 122 | 04/16/2021 | 07:09:23 | System ACPI Power State #0x7a | S0/G0: working | Asserted
 123 | 04/16/2021 | 07:09:23 | System ACPI Power State #0x8a | S0/G0: working | Asserted
 124 | 04/16/2021 | 07:09:24 | OEM record c0 | 00cd3a | 0feb70120000
 125 | 04/16/2021 | 07:09:24 | OEM record c0 | 00cd3a | ca8ff101ffff
 126 | 04/16/2021 | 07:09:25 | System ACPI Power State #0x7a | S5/G2: soft-off | Asserted
 127 | 04/16/2021 | 07:09:25 | System ACPI Power State #0x8a | S5/G2: soft-off | Asserted
 128 | 04/16/2021 | 07:09:26 | Power Unit #0xe8 | Soft-power control failure | Asserted
 129 | 04/16/2021 | 07:09:45 | OEM record c0 | 00cd3a | ca907105ffff
 12a | 04/16/2021 | 07:09:45 | System ACPI Power State #0x7a | S0/G0: working | Asserted
 12b | 04/16/2021 | 07:09:45 | System ACPI Power State #0x8a | S0/G0: working | Asserted
 12c | 04/16/2021 | 07:09:46 | OEM record c0 | 00cd3a | 0feb70020000
