search_board_type Mt.Jade
./sshpass -p amcc1234 ssh -o StrictHostKeyChecking=no -t amcclab@10.38.15.173 'ipmitool -H 10.38.15.14 -U ADMIN -P ADMIN  sel list'
Pseudo-terminal will not be allocated because stdin is not a terminal.
   1 | 04/29/2021 | 04:34:26 | Event Logging Disabled #0xdd | Log area reset/cleared | Asserted
  34 | 04/29/2021 | 05:18:47 | System Firmwares #0xe4 | System boot initiated | Asserted
  35 | 04/29/2021 | 05:52:32 | System ACPI Power State #0x7a | S5/G2: soft-off | Asserted
  36 | 04/29/2021 | 05:52:32 | System ACPI Power State #0x8a | S5/G2: soft-off | Asserted
  37 | 04/29/2021 | 05:53:08 | OEM record c0 | 00cd3a | ca907101ffff
  38 | 04/29/2021 | 05:53:08 | OEM record c0 | 00cd3a | cbe57001ffff
  39 | 04/29/2021 | 05:53:08 | System ACPI Power State #0x7a | S0/G0: working | Asserted
  3a | 04/29/2021 | 05:53:08 | System ACPI Power State #0x8a | S0/G0: working | Asserted
  3b | 04/29/2021 | 05:53:09 | OEM record c0 | 00cd3a | 0feb70020000
  3c | 04/29/2021 | 05:53:09 | OEM record c0 | 00cd3a | ca8f7101ffff
  3d | 04/29/2021 | 05:53:09 | OEM record c0 | 00cd3a | ca90f101ffff
  3e | 04/29/2021 | 05:53:10 | OEM record c0 | 00cd3a | 0feb70120000
  3f | 04/29/2021 | 05:53:10 | OEM record c0 | 00cd3a | ca8ff101ffff
  40 | 04/29/2021 | 05:53:43 | OEM record c0 | 00cd3a | 0feb70220000
  41 | 04/29/2021 | 05:53:44 | OEM record c0 | 00cd3a | 0feb70320000
  42 | 04/29/2021 | 05:53:46 | OEM record c0 | 00cd3a | 0feb70520000
  43 | 04/29/2021 | 05:53:47 | OEM record c0 | 00cd3a | 0feb70620000
  44 | 04/29/2021 | 05:54:13 | OEM record c0 | 00cd3a | 0feb70820000
  45 | 04/29/2021 | 05:54:13 | System Firmwares #0xe4 | System boot initiated | Asserted
  46 | 04/29/2021 | 06:27:49 | System ACPI Power State #0x7a | S5/G2: soft-off | Asserted
  47 | 04/29/2021 | 06:27:49 | System ACPI Power State #0x8a | S5/G2: soft-off | Asserted
